designation,    rho,    P_high
Gaia DR3 415665118140313472 , 193.637116202855 , 0.35632089463573097
Gaia DR3 415710679155061248 , 16.64158550985819 , 9.695278220284818e-05
Gaia DR3 415735624324946816 , 40.04233837329018 , 0.02041060493704077
Gaia DR3 415741465478813184 , None , None
Gaia DR3 415763386991633792 , 222.84877608566052 , 0.5965345322065273
Gaia DR3 415763386991635072 , 201.38229749491018 , 0.23007768382031984
Gaia DR3 415938656017462528 , 112.78746903795044 , 0.1698380000291566
Gaia DR3 416135846558362112 , 1057.6487809228993 , 0.9746606294449114
Gaia DR3 415996861414096640 , 0.1015147957893606 , 6.03118427707021e-15
Gaia DR3 415998304525297792 , 1210.868156774573 , 0.9126309742311995
Gaia DR3 416158489625704320 , 82.49795004726026 , 0.031070021771159636
Gaia DR3 2315906774718233728 , 0.018465985197580855 , 3.3757150836483555e-23
Gaia DR3 2315907427554077056 , 0.03632642482206654 , 4.016313745161665e-27
Gaia DR3 2315919865779378560 , 8.7739263320183 , 1.9355592946176195e-05
Gaia DR3 2321638975511349632 , 176.4121536881407 , 0.46372003680897755
Gaia DR3 2316179659761249280 , 775.8381479279456 , 0.986326549434429
Gaia DR3 2316180587474183168 , 437.0680475452627 , 0.8819121757457579
Gaia DR3 2316250990578091776 , 189.74769005127445 , 0.6891348846729317
Gaia DR3 2321900178242305664 , 10.00680491855736 , 1.2730041653546952e-05
Gaia DR3 2322039850578916224 , 469.03606120601 , 0.8549502736577381
Gaia DR3 2322071461538241280 , 614.5457143062823 , 0.8567174620403524
Gaia DR3 2322099292926243328 , 66.92877943164704 , 0.01266229904605908
Gaia DR3 2316867885320845696 , 1299.5044091310183 , 0.9590911723913094
Gaia DR3 2316968043958081152 , None , None
Gaia DR3 2316968078317032064 , 45.81702367097111 , 0.0030427573583978445
Gaia DR3 2316968078317819264 , 50.30373766259559 , 0.0913843143632457
Gaia DR3 2322289748956080896 , 221.0045372672596 , 0.7659149500142037
Gaia DR3 2317008279211780480 , 65.39700292798918 , 0.008947991782612182
Gaia DR3 2322381248939069952 , 344.1870301809505 , 0.790711398628731
Gaia DR3 2322381729975418496 , 353.83764987940543 , 0.6974477991568768
Gaia DR3 2322393343566984576 , 136.54066145251426 , 0.2644129149092337
Gaia DR3 2322452064359972608 , 23.101057181097424 , 0.004237733355029066
Gaia DR3 2322506180947943040 , 167.67357727198632 , 0.5207520040210242
Gaia DR3 2322561156529549440 , 26.49578970544379 , 0.0027561919772034547
Gaia DR3 2322574488107786624 , 1179.2537563694173 , 0.9778191972554068
Gaia DR3 2322611768423746944 , 453.9393940696051 , 0.8853365157726051
Gaia DR3 2322617678298753280 , 463.9473580662411 , 0.8784908180148551
Gaia DR3 2322618056255886720 , 407.8985748065428 , 0.9086151283076009
Gaia DR3 2317455505566243968 , None , None
Gaia DR3 2317474231623663104 , 67.35003770147532 , 0.10381273264843967
Gaia DR3 2317617919753845120 , 41.721685573512055 , 0.014770484311663133
Gaia DR3 2317617924049442176 , 82.84212775655455 , 0.13901914812854438
Gaia DR3 2317773298786508416 , 94.46151506676188 , 0.07500413871286127
Gaia DR3 2317800236821383424 , None , None
Gaia DR3 2322990172222665728 , 40.2033421133911 , 0.006354608782847112
Gaia DR3 2317978666942680320 , 11.656013325687605 , 0.00026352068808754104
Gaia DR3 2323304976145390208 , 335.64457241382144 , 0.8727853058784822
Gaia DR3 2323327378694777984 , 34.23701908115451 , 0.006332616993515786
Gaia DR3 2318244336439691776 , 709.2053263045309 , 0.894157863486497
Gaia DR3 2318245057994196608 , 742.8842761520989 , 0.9053001089699277
Gaia DR3 2318247428816118656 , 232.33854499233126 , 0.7857287840841293
Gaia DR3 2323441521745591296 , 13.905689694847407 , 0.0001808520457434291
Gaia DR3 2318295979126499200 , 16.10678240194872 , 0.0011778041647795183
Gaia DR3 2323496840924417792 , 466.1842668560536 , 0.9208612595063179
Gaia DR3 2318440908502983936 , 182.3947569817919 , 0.382727903649161
Gaia DR3 2323694306340956032 , 139.72748328128043 , 0.13048962520422175
Gaia DR3 2323695508932016384 , 45.404674145376156 , 0.005450334670638701
Gaia DR3 2323723065442279296 , 46.77156902711634 , 0.019036510337413208
Gaia DR3 2318637377486960896 , 502.4797070934054 , 0.9040036448071983
Gaia DR3 2318637785507972736 , 106.55110783178918 , 0.2521365026684163
Gaia DR3 2318637789803820800 , 121.84988902879189 , 0.07956877896204034
Gaia DR3 2323761887650523520 , 1907.7220103141747 , 0.9680096648873125
Gaia DR3 2318709017541569536 , 33.53055549269782 , 0.004409073816269878
Gaia DR3 2318791824510939008 , 173.4756015988711 , 0.41275519558864016
Gaia DR3 2323834734591767808 , 268.2532974764269 , 0.6671227485365613
Gaia DR3 2323843358886071168 , 105.54480762815498 , 0.06941549076089601
Gaia DR3 2323843530684762880 , 186.29733814439993 , 0.8222626689285889
Gaia DR3 2318867037978206592 , 166.1797999950207 , 0.3664398406738151
Gaia DR3 2318997948581442304 , 545.6380703870936 , 0.937835628466527
Gaia DR3 2319314573570250496 , 2.354793747777378 , 2.4602290841770963e-07
Gaia DR3 2319314573570250880 , 3.022087131561692 , 3.795682266039824e-06
Gaia DR3 2314853098982352768 , 84.60976252604169 , 0.3135462571043332
Gaia DR3 2314863475623335552 , 191.21148856559768 , 0.5092444504059239
Gaia DR3 2314905531943801728 , 81.40244367937528 , 0.051374603453040645
Gaia DR3 2315022767370216320 , 70.86215941022243 , 0.1307736882845293
Gaia DR3 2315062590306950528 , 521.712907105397 , 0.9199025539125402
Gaia DR3 2315189034144182400 , 244.2422388854714 , 0.696006461732527
Gaia DR3 2315343240650059520 , 1027.549897342461 , 0.9698538712287953
Gaia DR3 2315390347851431680 , 606.7454115659662 , 0.9202473313147626
Gaia DR3 2315403679429887616 , 18.765364927322842 , 0.00010444765643363316
Gaia DR3 2315407630799826432 , 246.53771820491554 , 0.8498279734584175
Gaia DR3 2315437214534601984 , 347.7136904608454 , 0.755512028868548
Gaia DR3 2315505556054204416 , 228.9916234898399 , 0.8887281969921778
Gaia DR3 2315657456161729408 , None , None
Gaia DR3 2315781327314350720 , 118.98263470143748 , 0.41366995895322256
Gaia DR3 2315801462121049856 , 1787.852791909549 , 0.9657917392548547
Gaia DR3 2315826922687208192 , 167.17578809743594 , 0.7236851556762183
Gaia DR3 2315841869173294080 , 1971.447334964153 , 0.9690860259936095
Gaia DR3 2315841869173294208 , 2254.867551817868 , 0.9882580421509752
Gaia DR3 2315847263652247040 , 943.723348990959 , 0.9422438551350563
Gaia DR3 2315847263652931712 , 1008.4205734591328 , 0.958787418864604
Gaia DR3 2315849737553379840 , 2044.2001497134524 , 0.9819020911401328
Gaia DR3 2315857227976341504 , 12.518541232329124 , 1.2319441891823822e-05
Gaia DR3 2315873583211865600 , 630.5713031847143 , 0.9277155427681287
Gaia DR3 385796502515670016 , 4388.128436995378 , 0.9890173799275361
Gaia DR3 383556526748916224 , 670.3275202976238 , 0.9746973725818531
Gaia DR3 382598989560112000 , None , None
Gaia DR3 382627439423335808 , 164.57743201200145 , 0.45936292918882377
Gaia DR3 387611353832708352 , 51.86583735356898 , 0.007769444558722657
Gaia DR3 387612109746951168 , 53.97448932712302 , 0.04017614883948616
Gaia DR3 382688805916821120 , 1007.9142082884288 , 0.9592081381723202
Gaia DR3 387671689533227264 , 396.38578460438725 , 0.8976140736697241
Gaia DR3 387674403952542592 , 738.9050757728419 , 0.9015306361156648
Gaia DR3 387677251514856064 , 1717.2686417372197 , 0.9683377722960568
Gaia DR3 382733782814386944 , None , None
Gaia DR3 387731166240901632 , 139.60830752372493 , 0.07633629505189932
Gaia DR3 387816103513548416 , 530.9299052392605 , 0.7794142557099778
Gaia DR3 385105085797369856 , 6.613850914549055 , 2.573770030223496e-07
Gaia DR3 385125186244208128 , 27.77110548536332 , 0.002401104849124423
Gaia DR3 385125186244208256 , 27.18807610449225 , 0.002197051650277927
Gaia DR3 385213765650245760 , 1767.1327632862208 , 0.9877476591232214
Gaia DR3 388239003173684992 , 114.08646835922318 , 0.2553128757716509
Gaia DR3 390077936372822912 , 88.97212167415663 , 0.053153448899737214
Gaia DR3 390104324651977728 , 261.17173093038383 , 0.731114030886875
Gaia DR3 390882057330792448 , 873.4252168341677 , 0.9228623682756394
Gaia DR3 390120679887388672 , 1440.897092370536 , 0.9890859218181419
Gaia DR3 390900439790625664 , 56.04147885593833 , 0.018930598886767208
Gaia DR3 389243888083557376 , 122.34436941852984 , 0.04901552344403148
Gaia DR3 390928546056464896 , None , None
Gaia DR3 390973248078177792 , 1830.354936713876 , 0.9860140488001494
Gaia DR3 389296802080534144 , 770.3019508810103 , 0.9099923917584315
Gaia DR3 389296802080534272 , 610.9819379539472 , 0.9199751173974133
Gaia DR3 389306315430568064 , 2262.4455161039127 , 0.9904197926571467
Gaia DR3 389316971246956672 , 612.6514858653044 , 0.9445656312702231
Gaia DR3 388508383522729344 , 153.9919273111118 , 0.4462527121488872
Gaia DR3 389368407774814336 , 282.20683968557177 , 0.4746613437145845
Gaia DR3 391517540691233664 , 550.3150085723754 , 0.897217036800316
Gaia DR3 391074364488029056 , 301.10249230830027 , 0.7990628850474091
Gaia DR3 391082993079873280 , 374.7469744877836 , 0.9269263259706391
Gaia DR3 388602116890169088 , None , None
Gaia DR3 391090861459926400 , 301.8407704973986 , 0.7128857464422804
Gaia DR3 391124362205350912 , 987.4875886316363 , 0.938308494946127
Gaia DR3 391161092765540224 , 479.5751292112238 , 0.9206191036113992
Gaia DR3 388729316641758208 , None , None
Gaia DR3 391624571277556992 , 214.10138551758882 , 0.4245885560306642
Gaia DR3 391206413259935232 , 1592.2420343563701 , 0.9542823535223275
Gaia DR3 388802193646653440 , 1441.928451628633 , 0.9889916461933977
