target,    dr2id,    dr3id
HD 148164 , Gaia DR2 4459907547841472128 , Gaia DR3 4459907547841472128
Kepler-1011 , Gaia DR2 2080310088916950016 , Gaia DR3 2080310088916950016
WASP-6 , Gaia DR2 2385171398768647552 , Gaia DR3 2385171398768647552
Kepler-466 , Gaia DR2 2134719834131370496 , Gaia DR3 2134719834131370496
GJ 514 , Gaia DR2 3738099879558957952 , Gaia DR3 3738099879558957952
Qatar 10 , Gaia DR2 2262322556576778752 , Gaia DR3 2262322556576778752
Kepler-247 , Gaia DR2 2102911576914748032 , Gaia DR3 2102911581215700096
HD 27442 , Gaia DR2 4678664766394767616 , Gaia DR3 4678664766393829504
Kepler-1763 , Gaia DR2 2076537252208879104 , Gaia DR3 2076537252208879104
K2-397 , None , Gaia DR3 3414370975935397888
TOI-1347 , Gaia DR2 2265406171296388992 , Gaia DR3 2265406171296997888
WASP-59 , Gaia DR2 2841043011433969152 , Gaia DR3 2841043011433969152
HD 144899 , Gaia DR2 5984023937500025344 , Gaia DR3 5984023937500025344
Kepler-1585 , Gaia DR2 2079700100481104000 , Gaia DR3 2079700100481104000
TOI-2379 , Gaia DR2 6521531466699512064 , None
Kepler-688 , Gaia DR2 2052232410241029248 , Gaia DR3 2052232410241029248
HATS-8 , Gaia DR2 6767008363999712512 , Gaia DR3 6767008363999712512
TOI-1691 , Gaia DR2 2303587361109316224 , Gaia DR3 2303587361109316224
GJ 682 , Gaia DR2 5955305209191546112 , Gaia DR3 5955305209191546112
Kepler-1103 , Gaia DR2 2132808608042844160 , Gaia DR3 2132808608042844160
HAT-P-65 , Gaia DR2 1757302881526250496 , Gaia DR3 1757302881526250496
HATS-27 , Gaia DR2 6134228079203074176 , Gaia DR3 6134228079203074176
HD 147379 , Gaia DR2 1642641410934267008 , Gaia DR3 1642641410934267008
Kepler-183 , Gaia DR2 2052452140764708480 , Gaia DR3 2052452140764708480
K2-216 , Gaia DR2 2556231154370582400 , Gaia DR3 2556231154370582400
Kepler-617 , Gaia DR2 2107607354856794880 , Gaia DR3 2107607354856794880
HATS-35 , Gaia DR2 6441034841743467776 , Gaia DR3 6441034841743467776
LTT 9779 , Gaia DR2 2307504062045842688 , Gaia DR3 2307504062045842688
TOI-2364 , None , Gaia DR3 3022644120017418496
WASP-193 , Gaia DR2 5453063823882876032 , Gaia DR3 5453063823882876032
Kepler-964 , Gaia DR2 2076589960045421184 , Gaia DR3 2076589960045421184
WASP-60 , Gaia DR2 2868528637464028160 , Gaia DR3 2868528637464028160
Kepler-851 , Gaia DR2 2134808963293894912 , Gaia DR3 2134808963293894912
Kepler-1459 , Gaia DR2 2107084399639196544 , Gaia DR3 2107084399639196544
WASP-23 , Gaia DR2 5557345496687437696 , Gaia DR3 5557345496687437696
KMT-2018-BLG-0030L , None , None
HD 222155 , Gaia DR2 1943363751009454976 , Gaia DR3 1943363751009454976
Kepler-1508 , Gaia DR2 2073768853731839104 , Gaia DR3 2073768853731839104
HAT-P-46 , Gaia DR2 4177560894633502720 , Gaia DR3 4177560894633502720
HD 154672 , Gaia DR2 5917231492323978880 , Gaia DR3 5917231492323978880
Kepler-35 , Gaia DR2 2128155371757730816 , Gaia DR3 2128155371757730816
Kepler-879 , Gaia DR2 2135398473324811392 , Gaia DR3 2135398473324811392
Kepler-1938 , Gaia DR2 2075121459200474880 , Gaia DR3 2075121459200474880
K2-265 , Gaia DR2 2597119620985658496 , Gaia DR3 2597119620985658496
HD 115404 A , Gaia DR2 3936909723803146368 , Gaia DR3 3936909723803146368
Kepler-515 , None , None
TOI-674 , Gaia DR2 5400949450924312576 , Gaia DR3 5400949450924312576
HD 41004 A , Gaia DR2 4794830231453653888 , Gaia DR3 4794830231453653888
TOI-2015 , Gaia DR2 1270814787767025408 , Gaia DR3 1270814787767025408
HD 22496 , Gaia DR2 4833654227548585856 , Gaia DR3 4833654227548585856
Kepler-927 , Gaia DR2 2101480188876308480 , Gaia DR3 2101480188876308480
WASP-2 , Gaia DR2 1748596020745038208 , Gaia DR3 1748596020745038208
K2-237 , Gaia DR2 6032746832450438400 , Gaia DR3 6032746832450438400
HAT-P-1 , Gaia DR2 1928431764627661440 , Gaia DR3 1928431764627661440
K2-344 , None , Gaia DR3 685235991691684352
Kepler-593 , Gaia DR2 2128776252229952000 , Gaia DR3 2128776252229952000
TOI-892 , Gaia DR2 3010759262610139776 , Gaia DR3 3010759262610139776
TOI-5218 , None , Gaia DR3 2263568371970517120
2MASS J11550485-7919108 , Gaia DR2 5199985216726016896 , Gaia DR3 5199985216726016896
TOI-4336 A , None , None
HD 72490 , Gaia DR2 603329694046441472 , Gaia DR3 603329694046441472
Kepler-1609 , Gaia DR2 2100993929859129600 , Gaia DR3 2100993929859129600
HD 34445 , Gaia DR2 3241295308714904960 , Gaia DR3 3241295308714904960
Kepler-591 , Gaia DR2 2131901682747346432 , Gaia DR3 2131901682747346432
CoRoT-21 , Gaia DR2 3107471240236703104 , None
KMT-2021-BLG-0192L , None , None
Kepler-1057 , Gaia DR2 2076891329311747584 , Gaia DR3 2076891329311747584
OGLE-2018-BLG-0932L , None , None
HIP 65426 , Gaia DR2 6070080754075553792 , Gaia DR3 6070080754075553792
HD 307842 , Gaia DR2 5251941573573934080 , Gaia DR3 5251941573573934080
PZ Tel , Gaia DR2 6655168686921108864 , Gaia DR3 6655168686921108864
Kepler-305 , Gaia DR2 2073547954981763328 , Gaia DR3 2073547954981763328
TOI-663 , Gaia DR2 3762515188088861184 , Gaia DR3 3762515188088861184
PH1 , Gaia DR2 2073478823183937536 , None
LTT 3780 , Gaia DR2 3767281845873242112 , Gaia DR3 3767281845873242112
TOI-2081 , Gaia DR2 1416730563570869376 , Gaia DR3 1416730563570869376
K2-50 , Gaia DR2 3817000078053804672 , Gaia DR3 3817000078053804672
HD 211810 , Gaia DR2 2201556328489610752 , Gaia DR3 2201556328489610752
K2-252 , Gaia DR2 3582392123779246336 , Gaia DR3 3582392123779246336
Kepler-980 , Gaia DR2 2079902101382181248 , Gaia DR3 2079902101382181248
TOI-1470 , Gaia DR2 427224073427887360 , Gaia DR3 427224073427887360
HD 121504 , Gaia DR2 5872266689452551552 , Gaia DR3 5872266689455300608
Kepler-333 , Gaia DR2 2053581167404822272 , Gaia DR3 2053581167404822272
HAT-P-4 , Gaia DR2 1291120362349158016 , Gaia DR3 1291120362349158016
HD 219134 , Gaia DR2 2009481748875806976 , Gaia DR3 2009481748875806976
GU Psc , Gaia DR2 2784120641627589760 , Gaia DR3 2784120641627589760
OGLE-2018-BLG-1428L , None , None
Kepler-1196 , Gaia DR2 2125962155298608000 , Gaia DR3 2125962155298608000
MASCARA-1 , Gaia DR2 1744911763437512064 , Gaia DR3 1744911763437512064
2MASS J04372171+2651014 , Gaia DR2 151499478104075008 , Gaia DR3 151499478104075008
HIP 65891 , Gaia DR2 5870273893372957440 , Gaia DR3 5870273893372957440
KMT-2018-BLG-0885L , None , None
Kepler-1821 , Gaia DR2 2135051371246744960 , Gaia DR3 2135051371246744960
Kepler-1724 , Gaia DR2 2086649220125927040 , Gaia DR3 2086649220125927040
17 Sco , Gaia DR2 4342464209753404416 , Gaia DR3 4342464209753404416
Kepler-186 , Gaia DR2 2079000330051813504 , Gaia DR3 2079000330051813504
Kepler-990 , Gaia DR2 2086302805244921984 , Gaia DR3 2086302805244921984
Kepler-189 , Gaia DR2 2106137960646125312 , Gaia DR3 2106137960646125312
55 Cnc , Gaia DR2 704967037090946688 , Gaia DR3 704967037090946688
Kepler-1191 , Gaia DR2 2129250313538148736 , Gaia DR3 2129250313538148736
HATS-69 , Gaia DR2 6445881974332225536 , Gaia DR3 6445881974332225536
HD 204941 , Gaia DR2 6830027182179257472 , Gaia DR3 6830027182179257472
OGLE-2015-BLG-0966L , None , None
Kepler-1517 , Gaia DR2 2102974833192340224 , Gaia DR3 2102974833192340224
HAT-P-57 , Gaia DR2 4483640815570090368 , Gaia DR3 4483640815570090368
HU Aqr , Gaia DR2 6911950900211768704 , Gaia DR3 6911950900211768704
KMT-2023-BLG-1743L , None , None
WASP-78 , Gaia DR2 5089851638095503616 , Gaia DR3 5089851638095503616
EPIC 248847494 , Gaia DR2 3882879683758393344 , Gaia DR3 3882879683758393344
K2-127 , Gaia DR2 3613472293839371136 , Gaia DR3 3613472293839371136
Kepler-569 , Gaia DR2 2131729780976557952 , Gaia DR3 2131729780976557952
Kepler-234 , Gaia DR2 2052688467040906624 , Gaia DR3 2052688467040906624
OGLE-2019-BLG-0954L , None , None
Kepler-1745 , Gaia DR2 2077819763799736192 , Gaia DR3 2077819763799736192
HD 104985 , Gaia DR2 1693159194226600192 , Gaia DR3 1693159194226600192
Kepler-1647 , Gaia DR2 2073793420945053824 , Gaia DR3 2073793420945053824
HATS-74 A , Gaia DR2 3545653561942122368 , Gaia DR3 3545653561942122368
Kepler-1842 , Gaia DR2 2105506497375025024 , Gaia DR3 2105506497375025024
OGLE-2018-BLG-0383L , None , None
K2-338 , Gaia DR2 656201703533465088 , Gaia DR3 656201703533465088
HN Lib , Gaia DR2 6324325225803432320 , Gaia DR3 6324325225803432320
KELT-23 A , Gaia DR2 1644692064543192704 , Gaia DR3 1644692064543192704
Kepler-1102 , Gaia DR2 2119646801021958272 , Gaia DR3 2119646801021958272
Kepler-1538 , Gaia DR2 2106988158011587072 , Gaia DR3 2106988158011587072
Kepler-613 , Gaia DR2 2107102988257870336 , Gaia DR3 2107102988257870336
Kepler-576 , Gaia DR2 2052140601018026496 , Gaia DR3 2052140601018026496
Kepler-639 , Gaia DR2 2101675661427506432 , Gaia DR3 2101675661427506432
WASP-121 , Gaia DR2 5565050255701441664 , Gaia DR3 5565050255701441664
DMPP-1 , Gaia DR2 3011005587574818432 , Gaia DR3 3011005587574818432
HAT-P-23 , Gaia DR2 1808938730710633984 , Gaia DR3 1808938730710633984
Kepler-760 , Gaia DR2 2106043093408840960 , Gaia DR3 2106043093408840960
TOI-1130 , Gaia DR2 6715688452614516736 , Gaia DR3 6715688452614516736
Kepler-1812 , Gaia DR2 2073767994738269952 , Gaia DR3 2073767994738269952
Kepler-1568 , Gaia DR2 2127941413665428992 , Gaia DR3 2127941413665428992
KMT-2017-BLG-2509L , None , None
Kepler-1070 , Gaia DR2 2129064874031303936 , Gaia DR3 2129064874031303936
GJ 3082 , Gaia DR2 4915139584039259392 , Gaia DR3 4915139584039259392
GJ 3323 , Gaia DR2 3187115498866675456 , Gaia DR3 3187115498866675456
HATS-37 A , None , None
Kepler-1761 , Gaia DR2 2131817707546856320 , Gaia DR3 2131817707546856320
Kepler-1301 , Gaia DR2 2105463135385330944 , Gaia DR3 2105463135385330944
WASP-160 B , Gaia DR2 2910755484609597312 , Gaia DR3 2910755484609597312
Kepler-1468 , Gaia DR2 2077389820395188736 , Gaia DR3 2077389820395188736
Kepler-265 , Gaia DR2 2101776885215761152 , Gaia DR3 2101776885215761152
Kepler-718 , Gaia DR2 2075964612812129792 , Gaia DR3 2075964612812129792
KMT-2021-BLG-0320L , None , None
Kepler-1754 , Gaia DR2 2134972275129562752 , Gaia DR3 2134972275129562752
HATS-14 , Gaia DR2 6805149288493408640 , Gaia DR3 6805149288493408640
HD 185283 , Gaia DR2 6640676436470581888 , Gaia DR3 6640676436470581888
CoRoT-20 , Gaia DR2 3120122805143587328 , Gaia DR3 3120122805143587328
Ross 128 , Gaia DR2 3796072592206250624 , Gaia DR3 3796072592206250624
Kepler-865 , Gaia DR2 2078648211455026432 , Gaia DR3 2078648211455026432
HAT-P-9 , Gaia DR2 898130030131443584 , Gaia DR3 898130030131443584
Kepler-1482 , Gaia DR2 2131965454422070784 , Gaia DR3 2131965454422070784
HD 181234 , Gaia DR2 4201307051566729984 , Gaia DR3 4201307051566729984
Kepler-1258 , Gaia DR2 2132156632006693504 , Gaia DR3 2132156632006693504
Kepler-126 , Gaia DR2 2126918008858627712 , Gaia DR3 2126918008858627712
WASP-71 , Gaia DR2 2507901914613005056 , Gaia DR3 2507901914613201024
HD 93351 , Gaia DR2 3802693370192254336 , Gaia DR3 3802693370192254336
HIP 5158 , Gaia DR2 2351405057377686272 , Gaia DR3 2351405057377686272
HD 21693 , Gaia DR2 4729947569262040960 , Gaia DR3 4729947569262040960
Kepler-1611 , Gaia DR2 2134894690840101376 , Gaia DR3 2134894690840101376
HAT-P-34 , Gaia DR2 1810218734055374720 , Gaia DR3 1810218734058821632
42 Dra , Gaia DR2 2256800156348230400 , Gaia DR3 2256800156349110528
TOI-2025 , Gaia DR2 2296342614570999552 , Gaia DR3 2296342614570999552
Kepler-1393 , Gaia DR2 2103399695656782208 , Gaia DR3 2103399695656782208
Kepler-1622 , Gaia DR2 2086419903235549312 , Gaia DR3 2086419903235549312
Kepler-1793 , Gaia DR2 2053593189011583360 , Gaia DR3 2053593189011583360
HAT-P-15 , Gaia DR2 179498266829041664 , Gaia DR3 179498266829041664
TOI-5143 , Gaia DR2 3815937670648091392 , Gaia DR3 3815937670648091392
Kepler-1112 , Gaia DR2 2086586273085111808 , Gaia DR3 2086586273085111808
Kepler-531 , Gaia DR2 2131181055955983232 , Gaia DR3 2131181055955983232
Kepler-1725 , Gaia DR2 2076524710904427520 , Gaia DR3 2076524710904427520
Kepler-1015 , Gaia DR2 2125896459478159360 , Gaia DR3 2125896459478159360
WASP-156 , Gaia DR2 2514360548993901312 , Gaia DR3 2514360548993901312
Kepler-987 , Gaia DR2 2127688938307214592 , Gaia DR3 2127688938307214592
GJ 667 C , Gaia DR2 5975663354131618304 , Gaia DR3 5975663354131618304
EPIC 212424622 , Gaia DR2 3608139421926380544 , Gaia DR3 3608139421926380544
HD 156411 , Gaia DR2 5950535424666050304 , Gaia DR3 5950535424666050304
K2-260 , Gaia DR2 3394923127797114496 , Gaia DR3 3394923127797114496
GJ 1151 , Gaia DR2 786834302079285632 , Gaia DR3 786834302080370304
11 UMi , Gaia DR2 1696798367260229376 , Gaia DR3 1696798367260229376
HD 233832 , Gaia DR2 790236569003888000 , Gaia DR3 790236569006916096
HD 98649 , Gaia DR2 3538141457982396928 , Gaia DR3 3538141457982396928
Kepler-769 , Gaia DR2 2051933343073295232 , Gaia DR3 2051933343073295232
TrES-1 , None , None
WASP-18 , Gaia DR2 4955371367334610048 , Gaia DR3 4955371367334610048
HD 159243 , Gaia DR2 4485937214320449280 , Gaia DR3 4485937214320449280
HD 81688 , Gaia DR2 818464227945910016 , Gaia DR3 818464227945910016
EPIC 212499991 , Gaia DR2 3610090784483619456 , Gaia DR3 3610090784483619456
K2-165 , Gaia DR2 3700016198387202304 , Gaia DR3 3700016198387202304
Kepler-1253 , Gaia DR2 2131628282308860288 , Gaia DR3 2131628282308860288
Kepler-695 , Gaia DR2 2075107062469670272 , Gaia DR3 2075107062469670272
KOI-13 , None , None
Kepler-500 , Gaia DR2 2079563829758338432 , Gaia DR3 2079563829758338432
Kepler-676 , Gaia DR2 2135301441422463360 , Gaia DR3 2135301441422463360
WASP-65 , Gaia DR2 596931979481073152 , Gaia DR3 596931979481073152
Kepler-176 , Gaia DR2 2078286197246582016 , Gaia DR3 2078286197246582016
Kepler-24 , Gaia DR2 2052823535171095296 , Gaia DR3 2052823535171095296
NGC 2682 YBP 401 , None , None
K2-417 , Gaia DR2 2437684039751295744 , Gaia DR3 2437684039751295744
Kepler-1808 , Gaia DR2 2100414933904708608 , Gaia DR3 2100414933904708608
Kepler-1324 , Gaia DR2 2053454478745972480 , Gaia DR3 2053454478745972480
HD 206255 , Gaia DR2 6561908626047094144 , Gaia DR3 6561908626047094144
K2-375 , Gaia DR2 661453074146753152 , Gaia DR3 661453074146753152
Kepler-1615 , Gaia DR2 2105456160358298880 , Gaia DR3 2105456160358298880
HD 95872 , Gaia DR2 3537576785745979904 , Gaia DR3 3537576785745979904
Kepler-1979 , Gaia DR2 2051368434612892800 , Gaia DR3 2051368434612892800
Kepler-98 , Gaia DR2 2099862910348755712 , Gaia DR3 2099862910348755712
AB Pic , Gaia DR2 5495052596695570816 , Gaia DR3 5495052596695570816
Kepler-117 , Gaia DR2 2130959744881558272 , Gaia DR3 2130959744881558272
Kepler-1664 , Gaia DR2 2131313444027771520 , Gaia DR3 2131313444027771520
Kepler-45 , Gaia DR2 2053562475706063744 , Gaia DR3 2053562475706063744
Kepler-548 , Gaia DR2 2085193569812098944 , Gaia DR3 2085193569812098944
Kepler-557 , Gaia DR2 2077604981074933120 , Gaia DR3 2077604981077075712
Kepler-1781 , Gaia DR2 2101755788338161920 , Gaia DR3 2101755788338161920
HD 141937 , Gaia DR2 6248534171318085376 , Gaia DR3 6248534171318085376
HD 33564 , Gaia DR2 553480551264062848 , Gaia DR3 553480551264062848
Kepler-1355 , Gaia DR2 2131860859079970176 , Gaia DR3 2131860859079970176
HD 94834 , Gaia DR2 3995918691799173248 , Gaia DR3 3995918691799173248
TOI-139 , Gaia DR2 6598814657249555328 , Gaia DR3 6598814657249555328
TOI-2498 , Gaia DR2 3330907293088717824 , Gaia DR3 3330907293088717824
Kepler-243 , Gaia DR2 2104090257679181696 , Gaia DR3 2104090257679181696
K2-330 , None , None
K2-105 , Gaia DR2 651907079835937280 , Gaia DR3 651907079835937280
Kepler-1699 , Gaia DR2 2129698261447024128 , Gaia DR3 2129698261447024128
Kepler-1655 , Gaia DR2 2100392428275714688 , Gaia DR3 2100392428275714688
TOI-480 , Gaia DR2 2992025233741516928 , Gaia DR3 2992025233741516928
Kepler-741 , Gaia DR2 2127728520725956224 , Gaia DR3 2127728520725956224
Kepler-1733 , Gaia DR2 2052549584977429504 , Gaia DR3 2052549584977429504
Kepler-767 , Gaia DR2 2052567623840745216 , Gaia DR3 2052567623840745216
Kepler-670 , Gaia DR2 2086830502105850240 , Gaia DR3 2086830502105850240
K2-167 , Gaia DR2 2594479109451475456 , Gaia DR3 2594479109451475456
OGLE-2017-BLG-0604L , None , None
Kepler-1514 , Gaia DR2 2051866238502437632 , Gaia DR3 2051866238502437632
OGLE-TR-56 , Gaia DR2 4056326681029056896 , Gaia DR3 4056326681029056896
Kepler-828 , Gaia DR2 2105474852056221824 , Gaia DR3 2105474852056221824
Kepler-1770 , Gaia DR2 2075969526254302848 , Gaia DR3 2075969526254302848
Kepler-1732 , Gaia DR2 2051836379889114240 , Gaia DR3 2051836379889114240
Kepler-1321 , Gaia DR2 2128141834020807680 , Gaia DR3 2128141834020807680
Kepler-1205 , Gaia DR2 2101798634930170240 , Gaia DR3 2101798634930170240
Kepler-1864 , Gaia DR2 2101485548995660416 , Gaia DR3 2101485548995660416
CoRoT-3 , Gaia DR2 4263427117767106816 , Gaia DR3 4263427117767106816
Kepler-308 , Gaia DR2 2076400156855612416 , Gaia DR3 2076400156855612416
Kepler-444 , Gaia DR2 2101486923385239808 , Gaia DR3 2101486923385239808
NGTS-12 , Gaia DR2 3464620139089832960 , Gaia DR3 3464620139089832960
TOI-150 , Gaia DR2 5262709709389254528 , Gaia DR3 5262709709389254528
OGLE-2017-BLG-1434L , None , None
Kepler-750 , Gaia DR2 2103078397743762432 , Gaia DR3 2103078397743762432
HATS-36 , Gaia DR2 6771542097119292928 , Gaia DR3 6771542097119292928
Kepler-1028 , Gaia DR2 2132657390834750976 , Gaia DR3 2132657390834750976
GJ 3942 , Gaia DR2 1428030622526979968 , Gaia DR3 1428030622526979968
Kepler-1862 , Gaia DR2 2086847785054193792 , Gaia DR3 2086847785054193792
Kepler-1650 , Gaia DR2 2078524482038704000 , Gaia DR3 2078524482038704000
Kepler-1586 , Gaia DR2 2079298435140815360 , Gaia DR3 2079298435140815360
Kepler-1619 , Gaia DR2 2105921803532722432 , Gaia DR3 2105921803532722432
Kepler-62 , Gaia DR2 2107001283431633408 , Gaia DR3 2107001283431633408
Kepler-25 , Gaia DR2 2100451630105041152 , Gaia DR3 2100451630105041152
Kepler-30 , Gaia DR2 2100243616248608896 , Gaia DR3 2100243616248608896
TOI-2524 , None , Gaia DR3 3802583419029393152
K2-275 , Gaia DR2 661598415839633024 , Gaia DR3 661598415839633024
TOI-778 , Gaia DR2 3607877948613218304 , Gaia DR3 3607877948613218304
TOI-1696 , Gaia DR2 270260649602149760 , Gaia DR3 270260649602149760
Kepler-502 , Gaia DR2 2126099078855696256 , Gaia DR3 2126099078855696256
K2-19 , Gaia DR2 3798833775141351552 , Gaia DR3 3798833775141351552
K2-10 , Gaia DR2 3798690151434945280 , Gaia DR3 3798690151434945280
Kepler-1516 , Gaia DR2 2126237857838346368 , Gaia DR3 2126237857838346368
HD 12648 , Gaia DR2 574577774218025600 , Gaia DR3 574577774218025600
Kepler-765 , Gaia DR2 2107617903296016768 , Gaia DR3 2107617903296016768
TOI-5319 , None , None
Kepler-598 , Gaia DR2 2053546910744629504 , Gaia DR3 2053546910744629504
HIP 948 , Gaia DR2 4996711836306613120 , Gaia DR3 4996711836306613120
Kepler-1043 , Gaia DR2 2119617320366308736 , Gaia DR3 2119617320366308736
Kepler-1313 , Gaia DR2 2125713940547834496 , Gaia DR3 2125713940547834496
Wolf 503 , Gaia DR2 3620325206217720320 , Gaia DR3 3620325206217720320
Kepler-1339 , Gaia DR2 2131677584235170048 , Gaia DR3 2131677584235170048
K2-70 , Gaia DR2 2608811445383136768 , Gaia DR3 2608811445383136768
Kepler-1337 , Gaia DR2 2130628757521503104 , Gaia DR3 2130628757521503104
Kepler-1465 , Gaia DR2 2139286655674983936 , Gaia DR3 2139286655674983936
CoRoT-4 , Gaia DR2 3113201890547554432 , Gaia DR3 3113201890547554432
TOI-1758 , Gaia DR2 2232494455384800768 , Gaia DR3 2232494455385669760
K2-86 , Gaia DR2 55994798604873216 , Gaia DR3 55994798604873216
NGTS-25 , Gaia DR2 6682513094425008640 , Gaia DR3 6682513094425008640
TOI-4329 , Gaia DR2 2224458777730383616 , Gaia DR3 2224458777730383616
HAT-P-67 , Gaia DR2 1358614983131339392 , Gaia DR3 1358614983131339392
K2-26 , Gaia DR2 3425691139632545152 , Gaia DR3 3425691139632545152
WASP-162 , Gaia DR2 3558354604869150208 , Gaia DR3 3558354604869150208
Kepler-601 , Gaia DR2 2104705193915993216 , Gaia DR3 2104705193915993216
K2-315 , Gaia DR2 6255978483510095488 , Gaia DR3 6255978483510095488
Kepler-1269 , Gaia DR2 2130211080541825024 , Gaia DR3 2130211080541825024
Kepler-1545 , Gaia DR2 2085676083618453376 , Gaia DR3 2085676083618453376
WASP-48 , Gaia DR2 2141754578242371584 , Gaia DR3 2141754578242371584
OGLE-2012-BLG-0838L , None , None
TOI-858 B , None , None
Kepler-764 , Gaia DR2 2086366370762352640 , Gaia DR3 2086366370762352640
HD 74698 , Gaia DR2 5220639164696365312 , Gaia DR3 5220639164696365312
Kepler-1527 , Gaia DR2 2080247996570836736 , Gaia DR3 2080247996570836736
Kepler-857 , Gaia DR2 2078176589682140160 , Gaia DR3 2078176589682140160
HD 72892 , Gaia DR2 5722585739105853184 , Gaia DR3 5722585739105853184
Kepler-1836 , Gaia DR2 2053579930453436800 , Gaia DR3 2053579930453436800
Kepler-1097 , Gaia DR2 2104822188824798848 , Gaia DR3 2104822188824798848
Kepler-1294 , Gaia DR2 2126234215705936640 , Gaia DR3 2126234215705936640
Kepler-1959 , Gaia DR2 2079749303627032448 , Gaia DR3 2079749303627032448
Kepler-876 , Gaia DR2 2105095348745153536 , Gaia DR3 2105095348745153536
WASP-28 , Gaia DR2 2641087471777046016 , Gaia DR3 2641087471777046016
TOI-5634 A , None , None
Kepler-512 , Gaia DR2 2086940448965828992 , Gaia DR3 2086940448965828992
Kepler-92 , Gaia DR2 2102224661326132864 , Gaia DR3 2102224661326132864
WASP-43 , Gaia DR2 3767805209112436736 , Gaia DR3 3767805209112436736
2MASS J01225093-2439505 , Gaia DR2 5040416186560252416 , Gaia DR3 5040416186560252416
Kepler-1106 , Gaia DR2 2126198756455621376 , Gaia DR3 2126198756455621376
Kepler-508 , Gaia DR2 2078008703696509056 , Gaia DR3 2078008703696509056
PSR B1257+12 , None , None
HD 131496 , Gaia DR2 1236429004715336576 , Gaia DR3 1236429004715336576
WASP-142 , Gaia DR2 5674618444832114304 , Gaia DR3 5674618444832114304
GJ 411 , None , Gaia DR3 762815470562110464
BD+15 2940 , Gaia DR2 1193071962699902336 , Gaia DR3 1193071962699902336
Kepler-1467 , Gaia DR2 2079981712895637248 , Gaia DR3 2079981712895637248
K2-166 , Gaia DR2 3701015375282968064 , Gaia DR3 3701015375282968064
OGLE-2017-BLG-0482L , None , None
HAT-P-2 , Gaia DR2 1380825667768742144 , Gaia DR3 1380825667768742144
Kepler-321 , Gaia DR2 2078327974388092544 , Gaia DR3 2078327974388092544
TOI-849 , Gaia DR2 5023809953208388352 , Gaia DR3 5023809953208388352
TOI-206 , Gaia DR2 4665277593852295424 , Gaia DR3 4665277593852295424
TOI-132 , Gaia DR2 6520880040423258240 , Gaia DR3 6520880040423258240
GJ 3470 , Gaia DR2 654687847820642560 , Gaia DR3 654687847820642560
Kepler-1723 , Gaia DR2 2128157158464165504 , Gaia DR3 2128157158464165504
K2-113 , Gaia DR2 2564787622577189760 , Gaia DR3 2564787622577189760
Kepler-1098 , Gaia DR2 2078019187720711424 , Gaia DR3 2078019187720711424
Kepler-940 , Gaia DR2 2128594420494169856 , Gaia DR3 2128594420494169856
NSVS 14256825 , Gaia DR2 4245906369913936000 , Gaia DR3 4245906369913936000
HD 103774 , Gaia DR2 3574907305749250432 , Gaia DR3 3574907305749250432
Kepler-1023 , Gaia DR2 2132678625152847232 , Gaia DR3 2132678625152847232
OGLE-2005-BLG-390L , None , None
Kepler-783 , Gaia DR2 2129164173675031936 , Gaia DR3 2129164173675031936
WISEP J121756.91+162640.2 A , None , None
K2-247 , Gaia DR2 3578596339057980160 , Gaia DR3 3578596339057980160
MOA-2007-BLG-400L , None , None
Kepler-471 , Gaia DR2 2075972481191725696 , Gaia DR3 2075972481191725696
K2-250 , Gaia DR2 3582706794559052160 , Gaia DR3 3582706794559052160
Kepler-721 , Gaia DR2 2106717678151463040 , Gaia DR3 2106717678151463040
Kepler-883 , Gaia DR2 2133609705341815680 , Gaia DR3 2133609705341815680
WASP-127 , Gaia DR2 3778075717162985600 , Gaia DR3 3778075717162985600
EPIC 201595106 , Gaia DR2 3701123406596146048 , Gaia DR3 3701123406596146048
HD 235088 , Gaia DR2 2089570519439964416 , Gaia DR3 2089570519439964416
TOI-1444 , Gaia DR2 2274696151198328960 , Gaia DR3 2274696151198328960
K2-269 , Gaia DR2 603087251731604480 , Gaia DR3 603087247436468608
Kepler-991 , Gaia DR2 2087215262455233664 , Gaia DR3 2087215262455233664
Kepler-7 , Gaia DR2 2102117871259036672 , Gaia DR3 2102117871259036672
Kepler-1240 , Gaia DR2 2103567611698320896 , Gaia DR3 2103567611698320896
MOA-2012-BLG-006L , None , None
Kepler-1283 , Gaia DR2 2076599065376447488 , Gaia DR3 2076599065376447488
NGTS-4 , Gaia DR2 2891248292906892032 , Gaia DR3 2891248292906892032
Kepler-137 , Gaia DR2 2104847370214740352 , Gaia DR3 2104847370214740352
HD 204313 , Gaia DR2 6828450688663428224 , Gaia DR3 6828450688663428224
Kepler-674 , Gaia DR2 2132161785967577728 , Gaia DR3 2132161785967577728
Kepler-839 , Gaia DR2 2127396880530950272 , Gaia DR3 2127396880530950272
Kepler-1215 , Gaia DR2 2086526693301504896 , Gaia DR3 2086526693301504896
TOI-220 , Gaia DR2 5481210874877547904 , Gaia DR3 5481210874877547904
Kepler-1921 , Gaia DR2 2085204015173031552 , Gaia DR3 2085204015173031552
WASP-175 , Gaia DR2 5401743332678544640 , Gaia DR3 5401743332678544640
HD 86264 , Gaia DR2 5685917541714610688 , Gaia DR3 5685917541714610688
Kepler-1338 , Gaia DR2 2103743018162573952 , Gaia DR3 2103743018162573952
