target,    dr2id,    dr3id
Kepler-1143 , Gaia DR2 2100405381897402496 , Gaia DR3 2100405381897402496
K2-27 , Gaia DR2 3798552815560689792 , Gaia DR3 3798552815560689792
Kepler-1989 , Gaia DR2 2126119862195142272 , Gaia DR3 2126119862195142272
HD 16417 , Gaia DR2 5062172841616745856 , Gaia DR3 5062172841616745856
K2-191 , Gaia DR2 3610048418926172032 , Gaia DR3 3610048418926172032
WASP-3 , Gaia DR2 2095108312831835648 , Gaia DR3 2095108312831835648
Kepler-1749 , Gaia DR2 2127463224886292224 , Gaia DR3 2127463224886292224
Kepler-600 , Gaia DR2 2104875377699739648 , Gaia DR3 2104875377699739648
Kepler-150 , Gaia DR2 2102063136195478656 , Gaia DR3 2102063136195478656
WASP-42 , Gaia DR2 6139698733664726784 , Gaia DR3 6139698733664726784
Kepler-238 , Gaia DR2 2100624562669914240 , Gaia DR3 2100624562669914240
Kepler-114 , Gaia DR2 2128939873302216320 , Gaia DR3 2128939873302216320
CD Cet , Gaia DR2 3179036008830848 , Gaia DR3 3179036008830848
Kepler-1013 , Gaia DR2 2126890417989112832 , Gaia DR3 2126890417989112832
Kepler-1654 , Gaia DR2 2105415302330571008 , Gaia DR3 2105415302330571008
Kepler-1251 , Gaia DR2 2129755779649780224 , Gaia DR3 2129755779649780224
Kepler-1905 , Gaia DR2 2128263776731304960 , Gaia DR3 2128263776731304960
HD 6718 , Gaia DR2 2475153682334693120 , Gaia DR3 2475153682334693120
HD 285507 , Gaia DR2 45159901786525568 , Gaia DR3 45159901786885632
MOA-2020-BLG-208L , None , None
GJ 3293 , Gaia DR2 4893118771316702720 , Gaia DR3 4893118771316702720
2MASS J02192210-3925225 , Gaia DR2 4963614887043956096 , Gaia DR3 4963614887043956096
HD 139357 , Gaia DR2 1597757387783227008 , Gaia DR3 1597757387783227008
Kepler-1194 , Gaia DR2 2052662422359019904 , Gaia DR3 2052662422359019904
TOI-5076 , Gaia DR2 55752218851048320 , Gaia DR3 55752218851048320
Kepler-551 , Gaia DR2 2131523553827356544 , Gaia DR3 2131523553827356544
Kepler-989 , Gaia DR2 2119584163218439040 , Gaia DR3 2119584163218439040
MOA-2010-BLG-353L , None , None
Kepler-208 , Gaia DR2 2077750803804146176 , Gaia DR3 2077750803804146176
Kepler-359 , Gaia DR2 2077683871034907648 , Gaia DR3 2077683871034907648
KMT-2021-BLG-1689L , None , None
K2-81 , Gaia DR2 39738656627501056 , Gaia DR3 39738656627501056
IRAS 04125+2902 , Gaia DR2 164800235906366976 , Gaia DR3 164800235906366976
Kepler-578 , Gaia DR2 2099714751157275264 , Gaia DR3 2099714751157275264
Kepler-354 , Gaia DR2 2103860562828483712 , Gaia DR3 2103860562828483712
Kepler-1688 , Gaia DR2 2101475241074002176 , Gaia DR3 2101475241074002176
HD 284149 A , None , None
KIC 7917485 , Gaia DR2 2075978592919858432 , Gaia DR3 2075978592919858432
Kepler-622 , Gaia DR2 2103645814462282752 , Gaia DR3 2103645814462282752
NGTS-14 A , Gaia DR2 6585082036193768832 , Gaia DR3 6585082036193768832
Kepler-1443 , Gaia DR2 2107568970730102272 , Gaia DR3 2107568970730102272
Kepler-491 , Gaia DR2 2102468134431912064 , Gaia DR3 2102468134431912064
Kepler-746 , Gaia DR2 2051034247508620672 , Gaia DR3 2051034251798891904
TOI-4551 , Gaia DR2 3476605537386300032 , Gaia DR3 3476605537386300032
K2-95 , Gaia DR2 659744295638254336 , Gaia DR3 659744295638254336
WASP-10 , Gaia DR2 1909762228985058944 , Gaia DR3 1909762228985058944
HD 59686 A , None , None
K2-42 , Gaia DR2 3599651986730350464 , Gaia DR3 3599651986730350464
Kepler-1456 , Gaia DR2 2106018801073572224 , Gaia DR3 2106018801073572224
K2-46 , Gaia DR2 3794162976731206272 , Gaia DR3 3794162976731206272
K2-75 , Gaia DR2 2621784209417087360 , Gaia DR3 2621784209417087360
K2-387 , Gaia DR2 2580505553613124992 , Gaia DR3 2580505553613124992
HAT-P-25 , Gaia DR2 111322601672419712 , Gaia DR3 111322601672419712
PH2 , Gaia DR2 2139300262131379584 , Gaia DR3 2139300262131379584
1RXS J160929.1-210524 , Gaia DR2 6243841249531772800 , Gaia DR3 6243841249531772800
WASP-32 , Gaia DR2 2546413408888429696 , Gaia DR3 2546413408888429696
eps Tau , Gaia DR2 48026706557926528 , Gaia DR3 48026706558487040
KMT-2021-BLG-1253L , None , None
Kepler-1159 , Gaia DR2 2079920552562267904 , Gaia DR3 2079920552562267904
Kepler-1239 , Gaia DR2 2077689059355373440 , Gaia DR3 2077689059355373440
Kepler-1496 , Gaia DR2 2127964572129949056 , Gaia DR3 2127964572129949056
Kepler-1204 , Gaia DR2 2102648832296149888 , Gaia DR3 2102648832296149888
TOI-1601 , Gaia DR2 338382713564401920 , Gaia DR3 338382713564401920
GJ 896 A , Gaia DR2 2824770686019003904 , Gaia DR3 2824770686019003904
HATS-52 , Gaia DR2 5631530950664938240 , Gaia DR3 5631530950664938240
TOI-2570 , None , Gaia DR3 3445148131761842944
TOI-2818 , None , Gaia DR3 5545555570947605376
HD 10647 , Gaia DR2 4912580642524184960 , Gaia DR3 4912580642524184960
TOI-2406 , Gaia DR2 2528453161326406016 , Gaia DR3 2528453161326406016
HD 73256 , Gaia DR2 5643762781311698048 , Gaia DR3 5643762781311698048
KMT-2017-BLG-1146L , None , None
Kepler-1868 , Gaia DR2 2078226308223597696 , Gaia DR3 2078226308223597696
TOI-2328 , Gaia DR2 4619939536821435904 , Gaia DR3 4619939536821435904
HD 120084 , Gaia DR2 1715055487257379968 , Gaia DR3 1715055487257379968
HD 125390 , Gaia DR2 1484890423248544256 , Gaia DR3 1484890423248544256
KMT-2017-BLG-0428L , None , None
HAT-P-37 , Gaia DR2 2133946843094378752 , Gaia DR3 2133946843094378752
HD 103949 , Gaia DR2 3492633633781166336 , Gaia DR3 3492633633781166336
Gl 410 , Gaia DR2 3988689609004982912 , Gaia DR3 3988689609004982912
HD 209458 , Gaia DR2 1779546757669063552 , Gaia DR3 1779546757669063552
MOA-2022-BLG-249L , None , None
Kepler-1755 , Gaia DR2 2073715630497465856 , Gaia DR3 2073715630497465856
Kepler-882 , Gaia DR2 2077988401397704320 , Gaia DR3 2077988401397704320
TOI-1753 , Gaia DR2 1630385631560004480 , Gaia DR3 1630385635856016256
WASP-194 , None , None
Kepler-11 , Gaia DR2 2076960598545789824 , Gaia DR3 2076960598545789824
TOI-2236 , Gaia DR2 4613145315172329984 , Gaia DR3 4613145315172329984
Kepler-44 , Gaia DR2 2085222191474854656 , Gaia DR3 2085222191474854656
K2-43 , Gaia DR2 3789847707126025600 , Gaia DR3 3789847707126025600
KOI-1257 , Gaia DR2 2126633166627436928 , Gaia DR3 2126633166627436928
GJ 86 , Gaia DR2 4937000898855759104 , Gaia DR3 4937000898856156288
Kepler-389 , Gaia DR2 2126597569938248064 , Gaia DR3 2126597569938248064
TOI-2128 , Gaia DR2 1334288219648212352 , Gaia DR3 1334288219648212352
TOI-2443 , Gaia DR2 2501948402746099456 , Gaia DR3 2501948402746099456
HATS-39 , Gaia DR2 5605481703444311040 , Gaia DR3 5605481703444311040
K2-101 , Gaia DR2 661004400386393984 , Gaia DR3 661004400386393984
TOI-4515 , Gaia DR2 289464440515102976 , Gaia DR3 289464440515102976
8 UMi , Gaia DR2 1700658653802527104 , Gaia DR3 1700658653802527104
Kepler-1223 , Gaia DR2 2105969082532659328 , Gaia DR3 2105969082532659328
Kepler-1800 , Gaia DR2 2073686523494136192 , Gaia DR3 2073686523494136192
Kepler-897 , Gaia DR2 2139225048663855872 , Gaia DR3 2139225048663855872
Kepler-1403 , Gaia DR2 2052956541719356416 , Gaia DR3 2052956541719356416
HD 38529 , Gaia DR2 3219847066672970368 , Gaia DR3 3219847066672970368
Kepler-1155 , Gaia DR2 2099713617285398528 , Gaia DR3 2099713617285398528
Kepler-1815 , Gaia DR2 2076050683953049728 , Gaia DR3 2076050683953049728
Kepler-855 , Gaia DR2 2078088005976092416 , Gaia DR3 2078088005976092416
Kepler-611 , Gaia DR2 2106443453079518336 , Gaia DR3 2106443453079518336
Kepler-1022 , Gaia DR2 2127788822067165824 , Gaia DR3 2127788822067165824
K2-251 , Gaia DR2 3675248118423392256 , Gaia DR3 3675248118423392256
TOI-1410 , Gaia DR2 1958584565350234752 , Gaia DR3 1958584565350234752
WASP-113 , Gaia DR2 1587399232335653760 , Gaia DR3 1587399232335653760
WASP-94 B , Gaia DR2 6780546169633474944 , Gaia DR3 6780546169633474944
