designation,    u,    v,    w
Gaia DR3 390120679887388672,-31.604417300125995,53.03649898217596,-16.40249594892617
Gaia DR3 390900439790625664,-23.041389266166334,39.91196565253145,-12.227484093783982
Gaia DR3 389243888083557376,-22.179437819326246,39.424610683253775,-12.86186059869618
Gaia DR3 390928546056464896,-36.4753757717217,63.68987053480218,-18.841906536972676
Gaia DR3 390973248078177792,-23.547888582852114,41.95417612501319,-13.092574423367886
Gaia DR3 389296802080534144,-32.39914453809508,58.51561871855337,-19.692984388876926
Gaia DR3 389296802080534272,-32.13953574782954,58.04792288858688,-19.53706594279398
Gaia DR3 389306315430568064,-17.798499434193175,32.2102496352808,-10.89675546894047
Gaia DR3 389316971246956672,-36.596811376897875,65.6427447266053,-22.089330996093015
Gaia DR3 388508383522729344,-13.463402089928119,24.050650609043135,-9.377685164122873
Gaia DR3 389368407774814336,-12.677707818937606,23.433958832499727,-7.742312923458623
Gaia DR3 391517540691233664,-38.20526483736913,65.64913156009676,-17.110775622337034
Gaia DR3 391074364488029056,-34.46880064250855,62.08464795173731,-18.418063579196566
Gaia DR3 391082993079873280,-30.316524438835025,54.96208214018938,-15.851178252130445
Gaia DR3 388602116890169088,-36.04743477327099,63.725645490289516,-23.81569831226549
Gaia DR3 391090861459926400,-31.075369061908454,56.245334890623155,-16.116538079791678
Gaia DR3 391124362205350912,-27.24289660937167,48.20906302443107,-13.981761713323095
Gaia DR3 391161092765540224,-26.550668659069125,46.76289815397577,-13.106628658843356
Gaia DR3 388729316641758208,-32.820087089289906,59.809701017498256,-22.30067015470328
Gaia DR3 391624571277556992,-10.508900646663559,19.03596089483905,-5.013747467653019
Gaia DR3 391206413259935232,-19.7034575309603,35.63869144278726,-9.940065473551629
Gaia DR3 388802193646653440,-28.31387912190976,52.83358327399521,-19.02655546697733
Gaia DR3 388856202858272128,-18.70669391066189,34.99835344469621,-12.085151063719955
Gaia DR3 391713764858727040,-34.17701580390383,59.619370138731995,-15.155260831526661
