Sol                  ranks  141 of  601 stars in decreasing density
Sol                  ranks  370 of  601 stars in decreasing residuals
Sol                  ranks   43 of   77 stars with |v| within 1.250000


           Gaia id            |   rho   |    D    |    u     |    v     |    w     |    U     |    V     |    W     
                              |         |         |   [pc]   |   [pc]   |   [pc]   |  [km/s]  |  [km/s]  |  [km/s]  
------------------------------------------------------------------------------------------------------------------------
Gaia DR3 480005205701443712   |6.846e-01|6.651e-01|-2.141e+01| 1.400e+01| 7.048e+00| 5.852e+01|-3.042e-01| 5.993e+00
Gaia DR3 6307365499463905536  |5.239e-08|1.021e+01| 2.324e+01|-6.376e+00| 1.682e+01| 3.140e+02|-5.006e+02|-6.209e+01
Gaia DR3 2415330079301474432  |6.695e-02|9.799e-01| 3.483e+00| 9.784e+00|-3.520e+01|-7.043e+01| 2.405e+01|-8.036e+00
Gaia DR3 3727926923100822272  |4.777e+00|4.811e-01| 1.292e+01|-3.678e+00| 3.624e+01|-1.344e+01|-3.919e+00| 1.741e+01
Gaia DR3 2942158533132325504  |7.480e-01|6.554e-01|-2.420e+01|-2.534e+01|-1.124e+01| 1.300e+01|-3.051e+01|-1.210e+01
Gaia DR3 3148069126546570240  |4.197e-02|1.059e+00|-2.766e+01|-1.712e+01| 8.533e+00|-5.651e+01|-2.994e+01|-5.161e+01
Gaia DR3 1272085891928766976  |8.823e+00|4.344e-01| 1.492e+01| 1.474e+01| 3.308e+01|-1.568e+01|-4.978e+00|-5.744e+00
Gaia DR3 3263936692671872384  |1.087e+00|6.158e-01|-2.194e+01|-1.885e+00|-1.953e+01| 3.980e+01|-4.323e-01| 8.231e+00
Gaia DR3 4753670769581963904  |2.293e-02|1.172e+00|-3.353e+00|-1.816e+01|-2.939e+01|-9.954e+01|-6.477e+01| 1.232e+01
Gaia DR3 4171266057429634048  |1.579e-01|8.493e-01| 3.011e+01| 1.129e+01| 4.418e+00|-1.663e+01| 3.072e+01|-2.862e+01
Gaia DR3 2932903703242234112  |1.254e+00|6.013e-01|-1.868e+01|-2.299e+01|-3.483e+00| 1.765e+01|-1.232e+01| 1.837e+01
Gaia DR3 111774191712070144   |2.725e+00|5.283e-01|-2.799e+01| 1.153e+01|-1.710e+01| 2.765e+01| 1.682e+01|-8.726e+00
Gaia DR3 5800124364273050880  |2.814e+00|5.255e-01| 2.275e+01|-2.305e+01|-5.030e+00| 3.213e+01| 1.448e+01| 7.402e+00
Gaia DR3 6881661519529805952  |1.430e+00|5.883e-01| 1.426e+01| 8.052e+00|-1.235e+01|-9.141e+00| 1.994e+00|-1.907e+01
Gaia DR3 939599584345993984   |3.239e+00|5.133e-01|-1.266e+01|-4.981e-01| 3.951e+00| 7.868e+00| 2.157e+01| 8.005e+00
Gaia DR3 5153091836072107136  |3.831e+00|4.992e-01|-3.400e+00|-1.270e+00|-5.826e+00| 2.654e+01| 1.488e+01| 4.410e+00
Gaia DR3 1485400665363970304  |5.175e-03|1.501e+00| 2.621e+00| 8.986e+00| 2.642e+01| 1.390e+02|-4.775e+01| 2.430e+01
Gaia DR3 1329323684130318848  |5.036e+00|4.769e-01| 1.206e+01| 1.900e+01| 2.148e+01| 1.628e+01| 2.099e+01| 1.256e+00
Gaia DR3 637329067477530368   |5.892e-01|6.820e-01|-2.217e+01|-1.247e+01| 2.317e+01|-3.983e+01|-1.132e+00| 2.451e+01
Gaia DR3 4001928725435959168  |2.292e-02|1.172e+00|-4.173e+00|-4.978e+00| 3.896e+01| 9.903e+01|-1.267e+01|-3.660e+01
Gaia DR3 5577540535991163904  |3.241e+00|5.133e-01|-1.230e+01|-2.754e+01|-9.573e+00|-3.701e+01|-8.744e+00|-1.051e+01
Gaia DR3 6910371005081903488  |1.420e+00|5.890e-01| 9.025e+00| 8.373e+00|-7.639e+00| 2.478e+01|-2.189e+01| 1.496e+01
Gaia DR3 3304700330358980608  |1.470e+00|5.856e-01|-3.327e+01| 1.267e-01|-1.825e+01|-3.623e+01|-1.075e+01| 1.809e+01
Gaia DR3 1071133340038904320  |8.031e-01|6.477e-01|-1.982e+01| 1.518e+01| 2.017e+01| 2.400e+01| 8.958e+00|-2.098e+01
Gaia DR3 1304594533751044992  |7.617e-01|6.534e-01| 1.228e+01| 1.317e+01| 1.530e+01| 3.239e+01|-1.741e+01|-1.814e+01
Gaia DR3 2801216123294143360  |5.869e-01|6.824e-01|-5.486e+00| 1.186e+01|-1.026e+01| 2.559e+01| 1.962e+01| 2.147e+01
Gaia DR3 5067164968002850816  |4.566e+00|4.848e-01|-8.151e+00|-8.971e+00|-2.900e+01|-9.322e+00| 8.646e-01| 3.941e+00
Gaia DR3 2771736189329919232  |7.313e-01|6.578e-01|-4.074e+00| 2.040e+01|-2.036e+01| 5.613e+01| 4.293e+00| 8.327e+00
Gaia DR3 3974796042637565696  |2.876e-01|7.686e-01|-4.232e+00|-7.155e+00| 2.622e+01|-1.072e+01|-4.593e+01| 2.610e+01
Gaia DR3 1828403625591238144  |1.320e-01|8.750e-01| 1.916e+01| 3.461e+01|-1.069e+00| 5.171e+01|-1.422e+01|-4.484e+01
Gaia DR3 3045014547379515136  |4.210e-01|7.213e-01|-2.613e+01|-2.794e+01|-8.783e-01| 3.419e+01|-2.302e+00|-3.251e+01
Gaia DR3 5183110874332308480  |2.231e-01|8.018e-01|-9.863e+00|-8.320e-01|-1.160e+01| 4.758e+01|-1.399e+01| 3.544e+01
Gaia DR3 3481588421005428608  |2.720e+00|5.285e-01| 4.572e+00|-2.204e+01| 1.173e+01| 1.021e+01|-1.478e+01|-9.903e+00
Gaia DR3 4512265810537057664  |7.064e+00|4.508e-01| 1.860e+01| 2.121e+01| 4.531e+00|-3.198e+01|-6.891e+00|-4.985e+00
Gaia DR3 5974322293543549440  |3.232e+00|5.135e-01| 2.800e+01|-4.738e+00|-4.169e-01|-3.635e+00|-1.663e+01| 3.953e+00
Gaia DR3 97993497084921984    |8.799e-01|6.379e-01|-1.099e+01| 9.160e+00|-1.190e+01| 5.487e+00|-2.844e+01| 1.250e+01
Gaia DR3 2115454019586473600  |2.644e+00|5.310e-01| 4.565e+00| 1.515e+01| 7.327e+00|-2.558e+01|-1.680e+01|-1.777e+00
Gaia DR3 570134471635273728   |7.119e+00|4.502e-01|-2.141e+01| 2.657e+01| 1.414e+01|-2.789e+01|-8.353e+00|-7.293e+00
Gaia DR3 6415630939116638464  |3.543e+00|5.057e-01| 1.326e+01|-1.058e+01|-9.299e+00|-2.505e+00| 4.633e+00|-1.459e+01
Gaia DR3 5898641087150340224  |1.555e-01|8.515e-01| 2.761e+01|-2.519e+01| 5.370e+00|-1.470e+01|-2.958e+01| 3.554e+01
Gaia DR3 5329084752471816192  |1.385e-01|8.681e-01|-8.022e-01|-1.451e+01|-8.363e-01|-4.969e+01|-5.867e+01| 1.954e+01
Gaia DR3 2240199626712446976  |2.803e-02|1.133e+00|-2.230e+00| 3.764e+01| 1.334e+01| 5.747e+01|-6.043e+01|-3.972e+01
Gaia DR3 469602107717323392   |1.280e-02|1.291e+00|-3.120e+01| 2.104e+01| 1.560e+00| 4.934e+01|-3.256e+01| 6.313e+01
Gaia DR3 1467644789524975232  |1.057e+00|6.186e-01|-2.371e-01| 2.668e+00| 2.126e+01| 1.532e+01| 1.470e+01|-2.322e+01
Gaia DR3 5072573534418641536  |1.077e-01|9.053e-01|-1.112e+01|-9.242e+00|-2.876e+01|-5.358e+00| 4.512e+01| 1.845e+01
Gaia DR3 3917663631751903360  |1.534e-01|8.535e-01|-5.625e+00|-1.407e+01| 3.578e+01|-4.083e+00| 1.735e+01| 3.971e+01
Gaia DR3 3663619820886886016  |2.565e-01|7.834e-01| 1.572e+01|-9.036e+00| 3.414e+01| 6.922e+01|-1.669e+01|-1.395e+01
Gaia DR3 977638808311811968   |5.559e+00|4.691e-01|-3.190e+01| 5.286e+00| 1.256e+01| 2.060e+01| 1.518e+01| 5.834e+00
Gaia DR3 6427708902552813824  |5.591e-01|6.880e-01| 9.480e+00|-5.364e+00|-6.804e+00| 4.218e+00|-4.423e+01|-1.081e+01
Gaia DR3 5568872398635858816  |9.904e-01|6.254e-01|-6.855e+00|-2.100e+01|-8.777e+00| 4.088e+00| 1.481e+01|-2.359e+01
Gaia DR3 402411982935044096   |5.836e-01|6.831e-01|-2.062e+01| 3.063e+01|-9.215e+00|-3.114e+00| 2.104e+01|-2.236e+01
Gaia DR3 3428622849953494784  |8.052e-01|6.474e-01|-3.227e+01|-2.024e+00|-1.046e+00| 3.502e+01| 1.641e+00| 1.859e+01
Gaia DR3 5329033968778084608  |1.936e+00|5.593e-01|-1.520e+00|-3.226e+01|-2.059e+00| 1.759e+01| 1.119e+01|-1.425e+01
Gaia DR3 3847123707357532672  |5.144e+00|4.753e-01|-1.180e+01|-1.643e+01| 1.761e+01| 1.118e+00|-2.407e-01| 9.359e+00
Gaia DR3 1155276250492687616  |2.681e-01|7.776e-01| 9.529e+00| 5.002e-01| 1.106e+01|-5.071e+01| 8.160e+00| 1.717e+01
Gaia DR3 1534011998572555776  |3.045e+00|5.186e-01|-1.549e+00| 1.488e+00| 8.196e+00|-1.993e+01| 8.579e+00| 8.394e+00
