Sol                  ranks  141 of  601 stars in decreasing density
Sol                  ranks  370 of  601 stars in decreasing residuals
Sol                  ranks   43 of   77 stars with |v| within 1.250000


           Gaia id            |   rho   |    D    |    u     |    v     |    w     |    U     |    V     |    W     
                              |         |         |   [pc]   |   [pc]   |   [pc]   |  [km/s]  |  [km/s]  |  [km/s]  
------------------------------------------------------------------------------------------------------------------------
Gaia DR3 441091908649835520   |2.216e-01|8.027e-01|-2.598e+01| 2.071e+01|-3.450e+00|-5.444e+01|-5.066e+01|-9.892e+00
Gaia DR3 3794983903896750208  |1.737e-02|1.227e+00| 1.230e+00|-1.911e+01| 3.244e+01| 4.490e+01| 5.961e+01| 1.390e+01
Gaia DR3 972942484913274496   |4.255e+00|4.905e-01|-3.096e+01| 2.436e+00| 1.438e+01| 1.292e+00| 1.549e+01| 4.229e+00
Gaia DR3 1670968816195091968  |9.475e-01|6.301e-01|-9.279e+00| 2.308e+01| 3.076e+01| 4.629e+01|-9.957e+00| 1.042e+00
Gaia DR3 4583157303758720384  |2.471e+00|5.370e-01| 1.472e+01| 2.001e+01| 9.362e+00|-3.220e+01| 4.119e+00|-6.313e-01
Gaia DR3 2128674371304219392  |3.804e+00|4.998e-01| 6.330e+00| 3.828e+01| 8.380e+00| 1.082e+01|-6.869e+00|-2.918e+00
Gaia DR3 2085942027994517120  |1.326e+00|5.958e-01| 3.490e+00| 2.748e+01| 4.268e+00| 5.668e+01|-1.384e+01| 1.012e+01
Gaia DR3 3192532758297814656  |3.267e+00|5.126e-01|-2.481e+01|-1.055e+01|-2.077e+01| 2.064e+01| 1.889e+01| 4.272e+00
Gaia DR3 3486531309886887680  |1.584e+00|5.784e-01| 8.090e+00|-2.043e+01| 1.512e+01| 2.714e+01| 1.560e+01| 2.052e+01
Gaia DR3 6061219961669678464  |3.068e-01|7.603e-01| 1.858e+01|-3.025e+01| 3.822e+00|-5.845e+01|-3.943e+01| 6.695e+00
Gaia DR3 3334901543952614528  |5.971e-02|9.988e-01|-3.282e+01|-9.317e+00|-7.220e+00|-6.568e+01|-6.341e+01|-2.455e+01
Gaia DR3 6335663183550827392  |3.696e-01|7.371e-01| 2.706e+01|-2.892e+00| 2.644e+01|-5.795e+01|-2.107e+01|-1.511e+00
Gaia DR3 2108524519353741312  |1.551e-01|8.519e-01| 1.316e+01| 3.191e+01| 1.287e+01|-7.477e+01|-2.227e-02|-1.345e+01
Gaia DR3 278584536738548864   |2.835e-01|7.704e-01|-2.033e+01| 1.225e+01| 3.031e+00|-6.490e+01| 8.600e+00| 9.251e+00
Gaia DR3 3920865856289075840  |9.212e-01|6.330e-01|-5.667e-01|-8.558e+00| 2.982e+01|-2.848e+01|-2.667e+01|-6.772e+00
Gaia DR3 2566627311688927744  |1.825e+00|5.649e-01|-1.356e+01| 1.183e+01|-2.422e+01| 4.773e+01|-1.142e+01|-8.272e+00
Gaia DR3 413242962751081600   |2.532e-01|7.851e-01|-2.142e+01| 2.865e+01|-3.923e+00| 6.990e+01|-2.505e+01|-8.474e+00
Gaia DR3 4120941272839761536  |2.850e+00|5.244e-01| 3.495e+01| 2.780e+00| 4.504e+00| 4.711e+01| 1.185e+01| 4.675e+00
Gaia DR3 3994104184084389504  |6.979e-01|6.630e-01|-7.234e+00|-4.589e+00| 2.329e+01|-9.091e+00|-2.668e+01| 1.798e+01
Gaia DR3 5630532014287527040  |2.118e-01|8.088e-01|-3.047e+00|-1.882e+01| 4.709e+00|-1.834e+01|-1.712e+01| 3.349e+01
Gaia DR3 1165859359148269568  |3.843e-01|7.323e-01| 1.696e+01| 4.974e+00| 2.088e+01|-9.037e+00|-5.302e+01| 1.046e+01
Gaia DR3 6461858737275871104  |1.936e+00|5.593e-01| 2.637e+01|-8.934e+00|-2.818e+01| 1.330e+01| 9.795e+00|-1.788e+01
Gaia DR3 2519365418550216960  |2.187e-01|8.045e-01|-2.120e+01| 1.021e+01|-3.079e+01| 3.788e+01|-4.605e+01| 1.013e+01
Gaia DR3 3049217018258748800  |1.124e-02|1.319e+00|-2.381e+01|-2.218e+01|-1.667e+00| 8.639e+01|-5.261e+01|-4.529e+01
Gaia DR3 5696449660526276736  |5.065e+00|4.765e-01|-1.522e+01|-3.157e+01| 4.301e+00|-3.577e+01|-3.934e+00|-3.428e-01
Gaia DR3 709189157446292224   |1.622e+01|3.925e-01|-2.535e+01|-4.968e+00| 1.690e+01|-4.725e+00|-9.319e+00|-1.637e+00
Gaia DR3 1480783953477246080  |1.957e-01|8.195e-01| 5.763e+00| 1.104e+01| 3.222e+01|-4.060e+01|-4.425e+01| 2.764e+01
Gaia DR3 1487609618582803712  |4.996e-01|7.010e-01| 5.665e+00| 1.381e+01| 3.470e+01| 6.475e+01| 3.176e+00|-1.585e+00
Gaia DR3 6616610390384384128  |2.744e-01|7.746e-01| 2.176e+01| 7.416e+00|-3.108e+01|-2.032e+01| 3.170e+01|-5.356e+00
Gaia DR3 2006420639798213504  |9.602e+00|4.283e-01|-9.224e+00| 3.648e+01|-1.628e+00| 2.058e-01|-7.229e+00| 2.166e+00
Gaia DR3 992785646137225600   |8.141e-01|6.462e-01|-3.134e+01| 9.716e+00| 1.093e+01| 1.339e+01| 1.621e+01| 2.723e+01
Gaia DR3 3712538811193759744  |1.640e-01|8.440e-01| 5.632e+00|-4.424e+00| 1.495e+01| 1.280e+01| 1.716e+01| 3.833e+01
Gaia DR3 1932297578791925760  |2.960e+00|5.211e-01|-2.953e+00| 2.038e+01|-5.979e+00| 2.255e+01| 2.340e+01|-3.275e+00
Gaia DR3 799949929604161280   |7.824e-02|9.548e-01|-2.341e+01|-1.775e+00| 2.766e+01|-9.228e+01|-2.872e+01|-1.691e+01
Gaia DR3 6596697272732369792  |2.813e+00|5.256e-01| 1.557e+01| 1.737e+00|-2.735e+01| 7.629e+00| 1.074e+01|-1.463e+01
Gaia DR3 2081722205447961088  |8.784e-01|6.381e-01| 4.773e+00| 3.364e+01| 3.448e+00| 1.150e+01|-3.147e+01|-3.391e+00
Gaia DR3 6382693865716893824  |2.900e-01|7.675e-01| 1.460e+01|-1.397e+01|-1.823e+01| 6.845e+01|-1.334e+01| 2.360e+01
Gaia DR3 3458612029599345664  |2.396e+00|5.398e-01|-3.499e+01| 5.560e+00| 4.807e+00| 1.634e+01|-4.116e+00|-1.185e+01
Gaia DR3 2477870708709917568  |7.723e+00|4.441e-01|-1.263e+01| 6.581e+00|-3.445e+01| 4.119e-01|-3.900e+00| 1.747e+00
Gaia DR3 4713573848259077120  |1.801e-01|8.309e-01| 5.456e+00|-1.742e+01|-2.528e+01| 3.831e+01| 1.807e+00|-4.046e+01
Gaia DR3 3733136065596331520  |7.724e-01|6.519e-01| 8.431e+00|-5.524e+00| 3.140e+01| 1.067e+01| 7.160e+00| 2.439e+01
Gaia DR3 5655050092795276800  |4.730e-01|7.074e-01|-5.133e+00|-1.376e+01| 4.414e+00| 1.758e+01| 3.871e+00|-2.858e+01
Gaia DR3 1516374663831829888  |8.230e-01|6.450e-01|-2.011e+00| 5.264e+00| 3.536e+01|-3.542e+01|-2.515e+01|-1.421e+01
Gaia DR3 6003743571137684736  |1.830e+00|5.646e-01| 2.196e+01|-1.357e+01| 5.930e+00|-3.765e+01|-2.102e+01|-8.238e+00
Gaia DR3 231618931920424704   |1.937e+00|5.593e-01|-3.082e+01| 1.403e+01|-4.214e+00| 4.237e+01| 2.249e+00|-7.091e-01
Gaia DR3 4156684226836779776  |9.206e-01|6.331e-01| 2.849e+01| 1.244e+01| 2.981e-02|-1.543e+01|-3.579e+01|-5.274e+00
Gaia DR3 1661459243205261952  |1.144e+00|6.106e-01|-6.770e+00| 2.109e+01| 2.935e+01|-5.436e+00|-2.248e+00|-2.051e+01
Gaia DR3 4393265392168829056  |1.347e-01|8.722e-01| 1.204e+01| 5.915e+00| 5.863e+00| 6.193e+01| 6.386e+00|-3.912e+01
Gaia DR3 5279965341800818176  |1.514e-01|8.553e-01| 3.916e+00|-2.472e+01|-1.269e+01| 7.403e+01|-1.011e+01|-2.448e+01
Gaia DR3 4489842576543056512  |4.362e-01|7.170e-01| 2.954e+01| 2.091e+01| 1.242e+01|-3.505e+01|-2.428e+01| 2.019e+01
Gaia DR3 5806825406592131712  |6.196e-01|6.763e-01| 1.859e+01|-1.694e+01|-6.318e+00|-7.141e+00|-4.067e+01|-1.638e+01
Gaia DR3 6885538977349834880  |1.345e+00|5.943e-01| 2.580e+01| 1.858e+01|-2.379e+01| 1.480e+01|-1.380e+00|-1.923e+01
Gaia DR3 5375247610713364736  |6.268e+00|4.599e-01| 6.810e+00|-1.975e+01| 5.310e+00|-2.743e+01|-1.053e+00| 4.083e+00
Gaia DR3 569821974111727744   |7.244e+00|4.489e-01|-9.592e+00| 1.168e+01| 6.130e+00|-3.317e+01|-5.931e+00|-3.125e+00
Gaia DR3 1932623034233344000  |3.012e+00|5.196e-01|-4.113e+00| 2.611e+01|-7.752e+00|-1.314e+01| 5.489e+00| 7.730e+00
Gaia DR3 6713139956458712320  |4.402e-03|1.542e+00| 3.291e+01|-2.655e+00|-1.344e+01|-8.252e+01| 3.343e+01|-4.531e+01
Gaia DR3 559555456085598336   |2.480e-01|7.878e-01|-2.238e+01| 2.963e+01| 9.291e+00| 5.015e+01| 2.428e+01|-1.104e+01
Gaia DR3 846793900950016768   |6.372e+00|4.586e-01|-1.378e+01| 3.651e+00| 1.934e+01|-2.839e+01|-9.297e+00|-2.958e+00
Gaia DR3 3887082914848904320  |1.959e-01|8.194e-01|-1.514e+01|-1.556e+01| 2.789e+01|-1.014e+01|-5.987e+01|-6.430e+00
Gaia DR3 4772266363065849216  |2.293e-01|7.981e-01|-5.269e+00|-2.560e+01|-1.762e+01|-2.392e+01|-6.148e+01|-9.629e+00
Gaia DR3 3957129639558654720  |4.906e+00|4.790e-01| 2.596e+00|-4.278e-01| 3.603e+01|-3.283e+01|-5.561e+00|-2.604e+00
Gaia DR3 2132788541955849216  |5.948e-02|9.994e-01| 3.908e+00| 2.381e+01| 7.504e+00|-5.868e+01|-3.153e+01| 4.135e+01
Gaia DR3 4743263514068260608  |2.174e-01|8.053e-01| 1.928e+00|-1.323e+01|-2.210e+01|-6.273e+01| 3.958e+00| 1.022e+01
Gaia DR3 3722897963073804800  |2.353e-01|7.947e-01| 1.337e+01|-1.755e+00| 2.795e+01|-6.482e+00| 1.707e+01| 3.583e+01
Gaia DR3 3492600751511660800  |2.239e+00|5.459e-01| 9.865e+00|-3.006e+01| 2.426e+01|-3.933e+01|-8.077e-01| 5.833e+00
Gaia DR3 4471658131695403264  |2.027e+00|5.550e-01| 2.403e+01| 1.595e+01| 5.574e+00| 3.659e+01|-1.022e+01| 3.512e+00
Gaia DR3 308828253324985984   |1.344e-01|8.725e-01|-8.903e+00| 1.065e+01|-9.306e+00| 7.540e+01|-2.671e+01| 2.608e+01
Gaia DR3 2110336583235233536  |3.470e+00|5.075e-01| 4.540e+00| 1.185e+01| 4.810e+00|-1.873e+01|-6.024e-01| 1.374e+01
Gaia DR3 462185901786308992   |8.733e+00|4.351e-01|-1.848e+01| 1.461e+01| 8.400e-01|-1.252e+01|-6.545e+00| 1.377e+00
Gaia DR3 3064886536418158208  |2.969e-01|7.645e-01|-1.511e+01|-1.833e+01| 8.195e+00|-6.006e+01|-4.125e+01|-1.391e+01
Gaia DR3 2457106882592567936  |3.958e+00|4.965e-01|-9.038e+00| 4.183e+00|-3.399e+01| 5.344e+00| 1.342e+01|-3.348e+00
Gaia DR3 2100403801349406336  |1.071e+00|6.174e-01| 9.090e+00| 2.539e+01| 6.504e+00| 2.833e+01|-2.089e+01| 5.237e+00
Gaia DR3 2009313111279973760  |5.408e-01|6.918e-01|-1.310e+01| 3.441e+01|-2.504e+00| 4.117e+01|-2.251e+01|-1.931e+01
Gaia DR3 3445176478545784064  |9.403e+00|4.298e-01|-3.899e+01| 1.573e+00| 1.708e+00|-6.680e+00|-8.414e+00|-4.249e+00
Gaia DR3 3423169272278001920  |4.339e-01|7.176e-01|-2.874e+01|-4.335e+00|-5.281e-01| 1.982e+01|-2.789e+01|-2.134e+01
Gaia DR3 5511171437162508544  |8.597e-01|6.404e-01|-4.893e+00|-2.096e+01|-4.640e+00|-4.717e+01|-5.709e+00| 7.061e+00
Gaia DR3 1040054235130174080  |1.893e+00|5.614e-01|-1.379e+01| 6.840e+00| 1.313e+01| 3.003e+01|-6.705e-01|-1.178e+01
Gaia DR3 2990162248727121920  |2.343e-01|7.953e-01|-2.360e+01|-1.461e+01|-1.397e+01|-1.859e+01| 2.288e+01| 2.666e+01
Gaia DR3 3083867749248355328  |2.831e+00|5.250e-01|-1.280e+01|-1.130e+01| 4.375e+00| 7.866e+00| 2.044e+01|-4.010e+00
Gaia DR3 374400893422315648   |7.149e+00|4.499e-01|-1.664e+01| 2.339e+01|-1.157e+01| 6.909e+00|-1.698e+01|-8.836e+00
Gaia DR3 3058282903950269440  |4.952e+00|4.783e-01|-2.870e+01|-2.508e+01| 1.826e+00|-1.535e+01|-1.024e+01| 7.662e+00
Gaia DR3 2947359635449537920  |2.709e-01|7.763e-01|-2.253e+01|-2.333e+01|-5.195e+00| 4.260e+01| 1.476e+01|-3.364e+01
Gaia DR3 3974692997781566080  |2.991e+00|5.202e-01|-3.298e+00|-6.140e+00| 2.382e+01| 2.553e+01| 7.575e+00| 1.540e+01
Gaia DR3 4432655774190464896  |4.297e-01|7.188e-01| 2.763e+01| 9.523e+00| 1.805e+01| 1.632e+01| 1.386e+01|-3.397e+01
Gaia DR3 636051812923218304   |4.786e-01|7.060e-01|-1.869e+01|-1.035e+01| 1.843e+01|-2.082e+01|-2.744e+01|-2.496e+01
Gaia DR3 4190441815089981056  |2.794e+00|5.262e-01| 3.071e+01| 1.760e+01|-1.122e+01|-3.060e+01| 6.060e+00| 3.413e+00
Gaia DR3 6220235800033245184  |1.294e-01|8.780e-01| 2.288e+01|-1.410e+01| 1.416e+01|-7.231e+00| 1.247e+01| 4.569e+01
Gaia DR3 5843144887000900992  |1.286e-04|2.779e+00| 1.094e+01|-1.814e+01|-3.230e+00|-5.563e+01| 1.594e+01| 1.208e+02
Gaia DR3 1986803359482315648  |2.734e-01|7.751e-01|-5.690e+00| 2.878e+01|-4.908e+00| 4.780e+01|-1.635e+01|-3.203e+01
Gaia DR3 2633292522747082112  |2.874e+00|5.237e-01| 4.197e+00| 1.829e+01|-3.230e+01| 8.326e+00| 1.843e+01|-3.603e-01
Gaia DR3 2870398013390115456  |8.881e-01|6.369e-01|-5.403e+00| 2.767e+01|-1.517e+01|-1.936e+01|-4.452e+01| 6.891e+00
Gaia DR3 3703335104303461248  |3.338e+00|5.108e-01| 5.943e+00|-1.134e+01| 2.791e+01| 1.483e+01| 3.431e+00| 9.953e+00
Gaia DR3 1033808665486561664  |1.035e+00|6.209e-01|-1.882e+01| 6.148e+00| 1.431e+01| 3.406e+01| 1.401e+01| 1.874e+01
Gaia DR3 3175952638346424832  |9.737e+00|4.273e-01|-1.948e+01|-1.110e+01|-1.886e+01|-3.184e+01|-6.709e+00| 5.804e+00
Gaia DR3 4399175782566043392  |1.319e+00|5.963e-01| 3.136e+01| 1.370e+00| 2.321e+01| 1.988e+01|-1.837e+01| 9.483e+00
Gaia DR3 1681844566741448960  |1.265e-01|8.813e-01|-1.489e+01| 1.821e+01| 2.688e+01| 5.588e+01|-2.506e+01| 3.455e+01
Gaia DR3 4130485789628835840  |1.721e+00|5.704e-01| 2.832e+01| 6.122e-02| 8.168e+00|-1.502e+01|-1.260e+01| 1.962e+01
Gaia DR3 5675652776035826688  |1.056e+00|6.187e-01|-9.956e+00|-3.075e+01| 1.253e+01| 9.821e+00|-2.406e+01|-1.311e+01
Gaia DR3 499849844393678336   |8.475e-01|6.419e-01|-2.618e+01| 2.286e+01| 1.400e+01|-2.074e+01|-7.113e+00| 2.806e+01
Gaia DR3 5163903230829375488  |1.905e-01|8.232e-01|-2.446e+01|-7.225e+00|-2.871e+01|-4.062e+01|-3.180e+01|-3.258e+01
Gaia DR3 2854535874531776000  |3.899e+00|4.977e-01|-5.865e+00| 1.979e+01|-1.368e+01| 3.309e+01| 1.023e+01| 3.865e+00
Gaia DR3 1822370978937299456  |3.965e-01|7.285e-01| 1.208e+01| 1.982e+01|-2.963e+00|-1.780e+01|-5.264e+01|-1.225e+01
Gaia DR3 3218812563670036096  |1.767e-02|1.223e+00|-3.328e+01|-1.634e+01|-8.303e+00|-2.174e+01|-8.606e+01|-4.223e+01
Gaia DR3 4792137974154287104  |1.479e+01|3.986e-01|-5.419e+00|-3.355e+01|-1.986e+01| 8.636e-01|-1.015e+01| 2.651e+00
Gaia DR3 1213331563950941312  |1.029e+00|6.215e-01| 1.750e+01| 9.910e+00| 3.076e+01|-2.619e+01|-2.646e+01|-1.187e+01
Gaia DR3 795985606070786944   |8.577e-02|9.403e-01|-1.894e+01|-2.345e+00| 2.558e+01|-8.920e+00|-1.737e+00|-4.731e+01
Gaia DR3 4807503271195302272  |8.505e+00|4.371e-01|-1.347e+01|-2.792e+01|-1.952e+01|-3.154e+00|-1.622e+01| 5.802e+00
Gaia DR3 1026641705099403008  |4.283e+00|4.900e-01|-2.644e+01| 1.185e+01| 2.677e+01|-1.778e+01|-9.484e+00|-5.936e+00
Gaia DR3 3897069641524877184  |2.844e+00|5.246e-01|-2.037e+00|-1.770e+01| 3.375e+01|-2.931e+01|-9.817e+00| 1.748e+01
Gaia DR3 4520556574891724928  |9.234e+00|4.311e-01| 1.653e+01| 2.236e+01| 3.511e+00|-9.306e-01|-6.471e+00| 2.648e+00
Gaia DR3 3835743693290897152  |3.490e-01|7.442e-01|-1.353e+01|-2.202e+01| 2.498e+01|-9.317e+00| 1.649e+01|-2.560e+01
Gaia DR3 5463181705976708864  |4.286e-02|1.056e+00|-2.720e+00|-2.626e+01| 8.410e+00| 2.496e+01|-7.614e+01| 1.315e+01
Gaia DR3 3972075266754543744  |3.474e+00|5.074e-01|-1.028e+01|-1.178e+01| 3.595e+01|-2.008e+01|-5.962e+00| 1.621e+01
Gaia DR3 5559265690666327168  |1.561e-01|8.510e-01|-4.491e+00|-1.575e+01|-4.764e+00|-4.305e+01|-6.203e+01|-1.354e+01
Gaia DR3 6804996318939680000  |3.781e+00|5.003e-01| 2.061e+01| 6.928e+00|-1.610e+01| 3.085e+01| 1.719e+01|-4.073e+00
Gaia DR3 5194691411834588800  |3.372e-01|7.484e-01| 1.055e+01|-2.244e+01|-1.218e+01|-6.568e+01|-3.235e+01| 5.351e+00
Gaia DR3 3582720018762446848  |2.884e+00|5.234e-01| 6.431e+00|-1.676e+01| 2.409e+01| 2.954e+01| 2.422e+01|-9.037e-01
Gaia DR3 6585345884623967232  |1.556e-01|8.514e-01| 1.692e+01| 1.609e+00|-2.061e+01|-7.088e+01|-2.980e+01|-2.000e+01
Gaia DR3 6509993810151618304  |3.111e-01|7.586e-01| 8.663e+00|-3.604e+00|-1.239e+01| 3.407e+01|-4.529e+01| 2.913e+00
Gaia DR3 3596148182473970816  |7.371e-02|9.643e-01| 5.659e+00|-2.097e+01| 3.057e+01| 6.730e+01|-3.220e+01|-3.537e+01
Gaia DR3 1159297164515312768  |1.967e-01|8.188e-01| 2.323e+01| 8.958e-01| 3.212e+01|-3.507e+01|-5.857e+01| 1.244e+00
Gaia DR3 4987317505881087488  |6.207e-01|6.761e-01| 3.318e+00|-6.646e+00|-3.030e+01| 6.874e+01|-6.914e-01| 6.143e+00
Gaia DR3 505238104214871808   |1.029e+00|6.214e-01|-2.201e+01| 2.396e+01|-2.048e+00| 5.480e-01| 2.243e+01|-7.300e+00
Gaia DR3 1667336781395236096  |2.293e+00|5.438e-01|-7.030e+00| 2.367e+01| 2.955e+01|-2.832e+01| 1.768e+00|-1.131e+01
Gaia DR3 5461478699903920128  |8.396e-02|9.436e-01|-9.738e-01|-3.152e+01| 1.285e+01|-3.272e+00|-7.395e+01|-3.124e+01
Gaia DR3 5446118385026456576  |4.563e-01|7.117e-01| 9.710e-02|-2.940e+01| 8.917e+00|-6.168e+01|-2.670e+01| 1.335e+00
Gaia DR3 924849743234627328   |2.250e+00|5.455e-01|-3.412e+01| 2.355e+00| 1.649e+01| 3.190e+00|-6.938e+00|-1.454e+01
Gaia DR3 3809984369234891520  |1.136e+00|6.113e-01|-7.382e+00|-1.706e+01| 2.500e+01|-4.187e+01|-3.187e+01| 8.351e-02
Gaia DR3 149253931765392256   |3.747e-01|7.354e-01|-3.064e+01| 3.741e+00|-9.971e+00|-6.276e+01|-2.161e+01|-8.436e+00
Gaia DR3 1166216253750406144  |5.938e-01|6.811e-01| 1.891e+01| 6.067e+00| 2.272e+01|-2.560e+01| 2.079e+01|-1.190e+01
Gaia DR3 3480588449539357184  |8.616e+00|4.361e-01| 7.510e+00|-2.644e+01| 1.643e+01|-2.799e+01|-2.028e+00| 5.191e-01
Gaia DR3 4585850278315479168  |9.601e-02|9.228e-01| 1.712e+01| 2.352e+01| 9.859e+00|-3.539e+01| 4.005e+00|-4.488e+01
Gaia DR3 6736067076020049024  |2.269e+00|5.447e-01| 2.133e+01| 9.250e-01|-4.998e+00| 2.788e+00| 2.139e+01|-2.339e-01
Gaia DR3 3704480627912622976  |3.817e+00|4.995e-01| 9.343e+00|-1.237e+01| 3.602e+01| 8.407e+00| 9.958e+00|-3.945e+00
Gaia DR3 3684918769866265088  |1.282e+00|5.991e-01| 1.168e+01|-1.289e+01| 3.072e+01| 1.758e+00| 6.983e-01|-1.529e+01
Gaia DR3 1377192297234553728  |9.036e-01|6.351e-01| 8.810e+00| 1.640e+01| 2.481e+01| 6.045e+01| 8.624e+00| 9.950e+00
Gaia DR3 2739689239311660672  |3.018e-02|1.119e+00|-2.009e-01| 3.222e+00|-4.950e+00| 2.295e+00|-5.816e+01| 4.705e+01
Gaia DR3 3414379398367396096  |1.828e+00|5.647e-01|-3.654e+01|-1.979e+00|-5.719e+00|-3.387e+01|-3.513e+01| 2.145e+00
Gaia DR3 2705239237909520128  |1.424e+00|5.887e-01| 3.976e+00| 1.556e+01|-1.683e+01| 2.218e+01| 1.414e+01| 1.880e+01
Gaia DR3 1359938520253565952  |1.189e-01|8.905e-01| 4.222e+00| 1.383e+01| 1.116e+01|-6.894e+01| 3.682e+00|-2.904e+01
Gaia DR3 819287555996492160   |5.754e-01|6.847e-01|-2.364e+01| 2.940e+00| 2.464e+01| 3.688e+00| 3.253e+00|-2.732e+01
Gaia DR3 5592237639209047424  |1.123e+01|4.173e-01|-1.453e+01|-3.324e+01|-3.579e+00|-1.223e+01|-1.694e+00| 2.875e+00
Gaia DR3 1336988963803208448  |6.435e-03|1.448e+00| 1.430e+01| 2.548e+01| 1.923e+01| 4.887e+01|-9.830e+01|-4.236e+01
Gaia DR3 6645879561716675456  |4.771e-03|1.522e+00| 3.252e+01|-7.277e+00|-1.885e+01|-1.041e+01|-1.052e+02|-5.654e+01
Gaia DR3 4859110361272954752  |5.591e-01|6.880e-01|-8.595e+00|-1.251e+01|-1.847e+01| 4.442e-01| 2.050e+01|-2.375e+01
Gaia DR3 409363988799880064   |3.582e+00|5.048e-01|-2.199e+01| 2.612e+01|-4.133e+00|-2.646e+01| 2.566e+00| 8.623e+00
Gaia DR3 215555097097666816   |2.763e-02|1.136e+00|-3.645e+01| 1.351e+01| 7.781e+00|-2.645e+01| 5.192e+01| 1.716e+01
Gaia DR3 1067075832894179840  |1.755e+00|5.686e-01|-2.266e+01| 1.696e+01| 2.600e+01| 4.998e+00| 3.867e-01| 1.414e+01
Gaia DR3 1232177777366016256  |4.008e-01|7.272e-01| 1.276e+01| 1.623e+00| 3.144e+01|-2.707e+01|-1.700e+00| 3.082e+01
Gaia DR3 1448579017380769920  |3.885e-01|7.310e-01| 4.155e+00| 2.755e+00| 2.840e+01|-1.689e+01|-1.094e+01| 3.239e+01
Gaia DR3 5051354712350091904  |1.733e+00|5.697e-01|-6.956e+00|-9.884e+00|-2.139e+01|-1.326e+01|-2.751e+01| 4.142e+00
Gaia DR3 4722725358415413504  |5.538e+00|4.695e-01| 2.556e+00|-2.519e+01|-2.769e+01|-2.985e+01|-1.004e+00|-8.413e+00
Gaia DR3 6077332651740756224  |1.438e-01|8.627e-01| 1.260e+01|-2.424e+01| 4.409e+00| 2.303e+01| 1.593e+01|-4.467e+01
Gaia DR3 4768848634250149504  |1.795e+00|5.664e-01|-3.497e+00|-2.202e+01|-1.391e+01| 1.650e+01| 3.953e+00| 1.386e+01
Gaia DR3 3199132439405197696  |1.194e+00|6.062e-01|-2.685e+01|-1.042e+01|-2.060e+01|-3.721e+00|-4.955e+00| 2.043e+01
Gaia DR3 6830187710876927616  |5.654e+00|4.678e-01| 1.678e+01| 1.003e+01|-1.935e+01| 1.610e+01| 1.785e+01| 7.759e+00
Gaia DR3 5031808453624044800  |9.671e-01|6.279e-01| 3.567e-01|-7.046e-01|-1.392e+01|-2.472e+01|-7.833e+00| 2.053e+01
Gaia DR3 3822267696528247680  |1.273e+00|5.998e-01|-1.301e+01|-2.617e+01| 2.269e+01| 2.077e+01|-1.832e+01|-1.676e+00
Gaia DR3 1247332788512753536  |3.401e+00|5.092e-01| 5.254e+00| 1.513e+00| 1.765e+01| 5.982e+00| 1.340e+01|-8.730e+00
Gaia DR3 1380821338441693312  |2.080e+00|5.527e-01| 4.721e+00| 1.008e+01| 1.120e+01| 5.218e+00| 1.954e+01| 1.269e+01
Gaia DR3 462116284659917184   |9.327e+00|4.304e-01|-2.087e+01| 1.737e+01| 6.924e-01|-2.379e+01|-4.371e-01| 3.174e+00
Gaia DR3 675615471107440896   |2.618e+00|5.319e-01|-2.904e+01|-1.235e+01| 1.585e+01|-3.690e+01|-6.731e+00| 8.298e+00
Gaia DR3 5526688776047957504  |2.353e+00|5.414e-01|-5.249e+00|-3.224e+01|-2.766e-01|-2.933e+01|-1.095e+01|-1.334e+01
Gaia DR3 4279354441345462528  |1.447e+00|5.871e-01| 3.252e+01| 2.228e+01| 1.554e+00|-2.724e+01|-2.754e+01| 5.047e+00
Gaia DR3 6004517803427622528  |3.820e-01|7.331e-01| 3.155e+01|-2.028e+01| 9.314e+00|-1.175e+00|-5.963e+01|-6.047e+00
Gaia DR3 6679387968844598912  |3.937e-01|7.294e-01| 3.209e+01|-7.026e-01|-2.225e+01| 1.398e+01|-1.507e+01| 3.277e+01
Gaia DR3 4338745283470092416  |9.804e-01|6.265e-01| 3.445e+01| 4.816e+00| 1.557e+01|-2.269e+01|-2.680e+01| 9.398e+00
Gaia DR3 6365269423916514304  |1.002e+00|6.242e-01| 1.921e+01|-1.768e+01|-1.257e+01|-1.126e+01|-1.533e+01|-1.830e+01
Gaia DR3 5347831082126227712  |5.150e+00|4.752e-01| 8.134e+00|-2.656e+01| 3.185e+00|-6.045e+00|-1.583e+01| 8.456e+00
Gaia DR3 788737071367394688   |6.123e-01|6.776e-01|-1.597e+01| 6.845e+00| 3.562e+01|-3.744e+01|-3.465e+01| 4.927e-01
Gaia DR3 5624110076112385152  |7.412e-01|6.564e-01|-4.763e+00|-2.694e+01| 3.850e+00|-3.619e+01|-2.405e+01| 3.069e+00
Gaia DR3 1837325337808759424  |1.942e+00|5.590e-01| 1.479e+01| 3.625e+01|-1.770e+00| 1.400e+01|-1.260e+01|-1.498e+01
Gaia DR3 2264345864130205568  |1.384e+00|5.915e-01|-8.081e+00| 3.371e+01| 1.489e+01| 3.321e+01|-1.350e+01| 3.035e-01
Gaia DR3 1398534505124752640  |5.817e-01|6.834e-01| 7.210e+00| 2.369e+01| 2.720e+01| 1.083e+01|-1.787e+01| 2.448e+01
Gaia DR3 2244165462076988672  |4.869e-01|7.040e-01|-4.286e+00| 3.330e+01| 9.278e+00|-4.602e+01| 6.605e+00|-1.776e+01
